friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_name_s_shown_on_form_1040_1040_sr_or_1040_nr,form1[0].Page1[0].f1_01[0],1,Text,"Name(s) shown on Form 1040, 1040-SR, or 1040-NR",,,
taxpayer_ssn,form1[0].Page1[0].f1_02[0],1,Text,Your social security number,,11,
p1_form1_0_page1_0_line1a_readorder_0_f1_03_0,form1[0].Page1[0].Line1a_ReadOrder[0].f1_03[0],1,Text,,,,
p1_form1_0_page1_0_f1_04_0,form1[0].Page1[0].f1_04[0],1,Text,,,,
p1_form1_0_page1_0_f1_05_0,form1[0].Page1[0].f1_05[0],1,Text,,,,
p1_form1_0_page1_0_f1_06_0,form1[0].Page1[0].f1_06[0],1,Text,,,,
line_1a,form1[0].Page1[0].Line1e_ReadOrder[0].c1_1[0],1,Button,Line 1a,1,,
line_1c,form1[0].Page1[0].Line1e_ReadOrder[0].c1_1[1],1,Button,Line 1c,2,,
line_1d,form1[0].Page1[0].Line1e_ReadOrder[0].c1_1[2],1,Button,Line 1d,3,,
line_2a,form1[0].Page1[0].Line1e_ReadOrder[0].c1_1[3],1,Button,Line 2a,4,,
p1_form1_0_page1_0_f1_07_0,form1[0].Page1[0].f1_07[0],1,Text,,,,
line_1a_2,form1[0].Page1[0].Line1f_ReadOrder[0].c1_2[0],1,Button,Line 1a,1,,
line_1c_2,form1[0].Page1[0].Line1f_ReadOrder[0].c1_2[1],1,Button,Line 1c,2,,
line_1d_2,form1[0].Page1[0].Line1f_ReadOrder[0].c1_2[2],1,Button,Line 1d,3,,
line_2a_2,form1[0].Page1[0].Line1f_ReadOrder[0].c1_2[3],1,Button,Line 2a,4,,
p1_form1_0_page1_0_f1_08_0,form1[0].Page1[0].f1_08[0],1,Text,,,,
p1_other_additions_to_tax,form1[0].Page1[0].f1_09[0],1,Text,Other additions to tax (see instructions):,,,
p1_form1_0_page1_0_f1_10_0,form1[0].Page1[0].f1_10[0],1,Text,,,,
p1_form1_0_page1_0_f1_11_0,form1[0].Page1[0].f1_11[0],1,Text,,,,
p1_form1_0_page1_0_f1_12_0,form1[0].Page1[0].f1_12[0],1,Text,,,,
p1_form1_0_page1_0_f1_13_0,form1[0].Page1[0].f1_13[0],1,Text,,,,
