friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_name_of_proprietor,topmostSubform[0].Page1[0].f1_1[0],1,Text,Name of proprietor,,,
p1_social_security_number_ssn,topmostSubform[0].Page1[0].f1_2[0],1,Text,Social security number (SSN),,11,
p1_a_principal_business_or_profession_including_product_or_service,topmostSubform[0].Page1[0].f1_3[0],1,Text,"A Principal business or profession, including product or service (see instructions)",,,
p1_topmostsubform_0_page1_0_bcomb_0_f1_4_0,topmostSubform[0].Page1[0].BComb[0].f1_4[0],1,Text,,,6,
p1_c_business_name_if_no_separate_business_name_leave_blank,topmostSubform[0].Page1[0].f1_5[0],1,Text,"C Business name. If no separate business name, leave blank.",,,
p1_d_employer_id_number_ein_see_instr,topmostSubform[0].Page1[0].DComb[0].f1_6[0],1,Text,D Employer ID number (EIN) (see instr.),,9,
p1_business_address_including_suite_or_room_no,topmostSubform[0].Page1[0].f1_7[0],1,Text,Business address (including suite or room no.),,,
taxpayer_city_state_zip,topmostSubform[0].Page1[0].f1_8[0],1,Text,"City, town or post office, state, and ZIP code",,,
cash,topmostSubform[0].Page1[0].c1_1[0],1,Button,Cash,1,,
accrual,topmostSubform[0].Page1[0].c1_1[1],1,Button,Accrual,2,,
other_specify,topmostSubform[0].Page1[0].c1_1[2],1,Button,Other (specify),3,,
p1_topmostsubform_0_page1_0_f1_9_0,topmostSubform[0].Page1[0].f1_9[0],1,Text,,,,
p1_topmostsubform_0_page1_0_c1_2_0_yes,topmostSubform[0].Page1[0].c1_2[0],1,Button,Yes,Yes,,
p1_topmostsubform_0_page1_0_c1_2_1_no,topmostSubform[0].Page1[0].c1_2[1],1,Button,No,No,,
p1_topmostsubform_0_page1_0_c1_3_0,topmostSubform[0].Page1[0].c1_3[0],1,Button,,1,,
p1_topmostsubform_0_page1_0_c1_4_0_yes,topmostSubform[0].Page1[0].c1_4[0],1,Button,Yes,Yes,,
p1_topmostsubform_0_page1_0_c1_4_1_no,topmostSubform[0].Page1[0].c1_4[1],1,Button,No,No,,
p1_topmostsubform_0_page1_0_c1_5_0_yes,topmostSubform[0].Page1[0].c1_5[0],1,Button,Yes,Yes,,
p1_topmostsubform_0_page1_0_c1_5_1_no,topmostSubform[0].Page1[0].c1_5[1],1,Button,No,No,,
p1_topmostsubform_0_page1_0_line1_readorder_0_c1_6_0,topmostSubform[0].Page1[0].Line1_ReadOrder[0].c1_6[0],1,Button,,1,,
p1_topmostsubform_0_page1_0_f1_10_0,topmostSubform[0].Page1[0].f1_10[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_11_0,topmostSubform[0].Page1[0].f1_11[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_12_0,topmostSubform[0].Page1[0].f1_12[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_13_0,topmostSubform[0].Page1[0].f1_13[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_14_0,topmostSubform[0].Page1[0].f1_14[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_15_0,topmostSubform[0].Page1[0].f1_15[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_16_0,topmostSubform[0].Page1[0].f1_16[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines8_17_0_f1_17_0,topmostSubform[0].Page1[0].Lines8-17[0].f1_17[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines8_17_0_f1_18_0,topmostSubform[0].Page1[0].Lines8-17[0].f1_18[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines8_17_0_f1_19_0,topmostSubform[0].Page1[0].Lines8-17[0].f1_19[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines8_17_0_f1_20_0,topmostSubform[0].Page1[0].Lines8-17[0].f1_20[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines8_17_0_f1_21_0,topmostSubform[0].Page1[0].Lines8-17[0].f1_21[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines8_17_0_f1_22_0,topmostSubform[0].Page1[0].Lines8-17[0].f1_22[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines8_17_0_f1_23_0,topmostSubform[0].Page1[0].Lines8-17[0].f1_23[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines8_17_0_f1_24_0,topmostSubform[0].Page1[0].Lines8-17[0].f1_24[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines8_17_0_f1_25_0,topmostSubform[0].Page1[0].Lines8-17[0].f1_25[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines8_17_0_f1_26_0,topmostSubform[0].Page1[0].Lines8-17[0].f1_26[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines8_17_0_f1_27_0,topmostSubform[0].Page1[0].Lines8-17[0].f1_27[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines18_27_0_f1_28_0,topmostSubform[0].Page1[0].Lines18-27[0].f1_28[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines18_27_0_f1_29_0,topmostSubform[0].Page1[0].Lines18-27[0].f1_29[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines18_27_0_f1_30_0,topmostSubform[0].Page1[0].Lines18-27[0].f1_30[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines18_27_0_f1_31_0,topmostSubform[0].Page1[0].Lines18-27[0].f1_31[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines18_27_0_f1_32_0,topmostSubform[0].Page1[0].Lines18-27[0].f1_32[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines18_27_0_f1_33_0,topmostSubform[0].Page1[0].Lines18-27[0].f1_33[0],1,Text,,,,
p1_topmostsubform_0_page1_0_lines18_27_0_f1_34_0,topmostSubform[0].Page1[0].Lines18-27[0].f1_34[0],1,Text,,,,
