form_id,field_name,friendly_name,page,field_type,caption,state_options,xfa_items,max_length,field_flags,access,presence,justification
1040-schedule-d,topmostSubform[0].Page1[0].f1_1[0],name_shown_on_return,1,Text,Name(s) shown on return,,,,8388608,,,Left
1040-schedule-d,topmostSubform[0].Page1[0].f1_2[0],taxpayer_ssn,1,Text,Your social security number,,,11,0,,,Center
1040-schedule-d,topmostSubform[0].Page1[0].c1_1[0],p1_topmostsubform_0_page1_0_c1_1_0_yes,1,Button,Yes,1,1|0,,0,,,Left
1040-schedule-d,topmostSubform[0].Page1[0].c1_1[1],p1_topmostsubform_0_page1_0_c1_1_1_no,1,Button,No,2,2|0,,0,,,Left
1040-schedule-d,topmostSubform[0].Page1[0].Table_PartI[0].Row1a[0].f1_3[0],p1_topmostsubform_0_page1_0_table_parti_0_row1a_0_f1_3_0,1,Text,,,,,8388608,,,Right
1040-schedule-d,topmostSubform[0].Page1[0].Table_PartI[0].Row1a[0].f1_4[0],p1_topmostsubform_0_page1_0_table_parti_0_row1a_0_f1_4_0,1,Text,,,,,8388608,,,Right
1040-schedule-d,topmostSubform[0].Page1[0].Table_PartI[0].Row1a[0].f1_5[0],p1_topmostsubform_0_page1_0_table_parti_0_row1a_0_f1_5_0,1,Text,,,,,8388609,readOnly,,Right
1040-schedule-d,topmostSubform[0].Page1[0].Table_PartI[0].Row1a[0].f1_6[0],p1_topmostsubform_0_page1_0_table_parti_0_row1a_0_f1_6_0,1,Text,,,,,8388608,,,Right
1040-schedule-d,topmostSubform[0].Page1[0].Table_PartI[0].Row1b[0].f1_7[0],p1_topmostsubform_0_page1_0_table_parti_0_row1b_0_f1_7_0,1,Text,,,,,8388608,,,Right
1040-schedule-d,topmostSubform[0].Page1[0].Table_PartI[0].Row1b[0].f1_8[0],p1_topmostsubform_0_page1_0_table_parti_0_row1b_0_f1_8_0,1,Text,,,,,8388608,,,Right
1040-schedule-d,topmostSubform[0].Page1[0].Table_PartI[0].Row1b[0].f1_9[0],p1_topmostsubform_0_page1_0_table_parti_0_row1b_0_f1_9_0,1,Text,,,,,8388608,,,Right
