friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
name_shown_on_return,topmostSubform[0].Page1[0].f1_1[0],1,Text,Name(s) shown on return,,,
taxpayer_ssn,topmostSubform[0].Page1[0].f1_2[0],1,Text,Your social security number,,11,
p1_topmostsubform_0_page1_0_c1_1_0_yes,topmostSubform[0].Page1[0].c1_1[0],1,Button,Yes,1,,
p1_topmostsubform_0_page1_0_c1_1_1_no,topmostSubform[0].Page1[0].c1_1[1],1,Button,No,2,,
p1_topmostsubform_0_page1_0_c1_2_0_yes,topmostSubform[0].Page1[0].c1_2[0],1,Button,Yes,1,,
p1_topmostsubform_0_page1_0_c1_2_1_no,topmostSubform[0].Page1[0].c1_2[1],1,Button,No,2,,
p1_topmostsubform_0_page1_0_table_line1a_0_rowa_0_f1_3_0,topmostSubform[0].Page1[0].Table_Line1a[0].RowA[0].f1_3[0],1,Text,,,,
p1_topmostsubform_0_page1_0_table_line1a_0_rowb_0_f1_4_0,topmostSubform[0].Page1[0].Table_Line1a[0].RowB[0].f1_4[0],1,Text,,,,
p1_topmostsubform_0_page1_0_table_line1a_0_rowc_0_f1_5_0,topmostSubform[0].Page1[0].Table_Line1a[0].RowC[0].f1_5[0],1,Text,,,,
p1_topmostsubform_0_page1_0_table_line1b_0_rowa_0_f1_6_0,topmostSubform[0].Page1[0].Table_Line1b[0].RowA[0].f1_6[0],1,Text,,,1,
p1_topmostsubform_0_page1_0_table_line1b_0_rowb_0_f1_7_0,topmostSubform[0].Page1[0].Table_Line1b[0].RowB[0].f1_7[0],1,Text,,,1,
p1_topmostsubform_0_page1_0_table_line1b_0_rowc_0_f1_8_0,topmostSubform[0].Page1[0].Table_Line1b[0].RowC[0].f1_8[0],1,Text,,,1,
p1_topmostsubform_0_page1_0_table_line2_0_rowa_0_f1_9_0,topmostSubform[0].Page1[0].Table_Line2[0].RowA[0].f1_9[0],1,Text,,,,
p1_topmostsubform_0_page1_0_table_line2_0_rowa_0_f1_10_0,topmostSubform[0].Page1[0].Table_Line2[0].RowA[0].f1_10[0],1,Text,,,,
p1_topmostsubform_0_page1_0_table_line2_0_rowa_0_c1_3_0,topmostSubform[0].Page1[0].Table_Line2[0].RowA[0].c1_3[0],1,Button,,1,,
