friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
px_topmostsubform_0_copya_0_pgheader_0_f1_01_0,topmostSubform[0].CopyA[0].PgHeader[0].f1_01[0],,Text,,,10,
px_topmostsubform_0_copya_0_pgheader_0_c1_1_0,topmostSubform[0].CopyA[0].PgHeader[0].c1_1[0],,Button,,1,,
px_topmostsubform_0_copya_0_pgheader_0_f1_02_0,topmostSubform[0].CopyA[0].PgHeader[0].f1_02[0],,Text,,,2,
px_1_income_code,topmostSubform[0].CopyA[0].LeftColumn[0].f1_03[0],,Text,1 Income code,,2,
px_2_gross_income,topmostSubform[0].CopyA[0].LeftColumn[0].f1_04[0],,Text,2 Gross income,,,
px_3_chapter_indicator_enter_3_or_4,topmostSubform[0].CopyA[0].LeftColumn[0].Lines3-3b[0].f1_05[0],,Text,3 Chapter indicator. Enter “3” or “4”,,1,
px_3a_exemption_code,topmostSubform[0].CopyA[0].LeftColumn[0].Lines3-3b[0].f1_06[0],,Text,3a Exemption code,,2,
px_3b_tax_rate,topmostSubform[0].CopyA[0].LeftColumn[0].Lines3-3b[0].f1_07[0],,Text,3b Tax rate,,2,
px_topmostsubform_0_copya_0_leftcolumn_0_lines3_3b_0_f1_08_0,topmostSubform[0].CopyA[0].LeftColumn[0].Lines3-3b[0].f1_08[0],,Text,.,,2,
px_4a_exemption_code,topmostSubform[0].CopyA[0].LeftColumn[0].f1_09[0],,Text,4a Exemption code,,2,
px_4b_tax_rate,topmostSubform[0].CopyA[0].LeftColumn[0].f1_10[0],,Text,4b Tax rate,,2,
px_topmostsubform_0_copya_0_leftcolumn_0_f1_11_0,topmostSubform[0].CopyA[0].LeftColumn[0].f1_11[0],,Text,.,,2,
px_5_withholding_allowance,topmostSubform[0].CopyA[0].LeftColumn[0].f1_12[0],,Text,5 Withholding allowance,,,
px_6_net_income,topmostSubform[0].CopyA[0].LeftColumn[0].f1_13[0],,Text,6 Net income,,,
px_7a_federal_tax_withheld,topmostSubform[0].CopyA[0].LeftColumn[0].f1_14[0],,Text,7a Federal tax withheld,,,
px_topmostsubform_0_copya_0_leftcolumn_0_c1_2_0,topmostSubform[0].CopyA[0].LeftColumn[0].c1_2[0],,Button,,1,,
px_topmostsubform_0_copya_0_leftcolumn_0_c1_3_0,topmostSubform[0].CopyA[0].LeftColumn[0].c1_3[0],,Button,,1,,
px_topmostsubform_0_copya_0_leftcolumn_0_c1_4_0,topmostSubform[0].CopyA[0].LeftColumn[0].c1_4[0],,Button,,1,,
px_8_tax_withheld_by_other_agents,topmostSubform[0].CopyA[0].LeftColumn[0].f1_15[0],,Text,8 Tax withheld by other agents,,,
px_topmostsubform_0_copya_0_leftcolumn_0_line9_0_f1_16_0,topmostSubform[0].CopyA[0].LeftColumn[0].Line9[0].f1_16[0],,Text,,,,
px_10_total_withholding_credit_combine_boxes_7a_8_and_9,topmostSubform[0].CopyA[0].LeftColumn[0].f1_17[0],,Text,"10 Total withholding credit (combine boxes 7a, 8, and 9)",,,
