form_id,field_name,friendly_name,page,field_type,caption,state_options,xfa_items,max_length,field_flags,access,presence,justification
1042-s,topmostSubform[0].CopyA[0].PgHeader[0].f1_01[0],px_topmostsubform_0_copya_0_pgheader_0_f1_01_0,,Text,,,,10,25165824,,,Left
1042-s,topmostSubform[0].CopyA[0].PgHeader[0].c1_1[0],px_topmostsubform_0_copya_0_pgheader_0_c1_1_0,,Button,,1,1|0,,0,,,Left
1042-s,topmostSubform[0].CopyA[0].PgHeader[0].f1_02[0],px_topmostsubform_0_copya_0_pgheader_0_f1_02_0,,Text,,,,2,0,,,Center
1042-s,topmostSubform[0].CopyA[0].LeftColumn[0].f1_03[0],px_1_income_code,,Text,1 Income code,,,2,0,,,Center
1042-s,topmostSubform[0].CopyA[0].LeftColumn[0].f1_04[0],px_2_gross_income,,Text,2 Gross income,,,,8388608,,,Right
1042-s,topmostSubform[0].CopyA[0].LeftColumn[0].Lines3-3b[0].f1_05[0],px_3_chapter_indicator_enter_3_or_4,,Text,3 Chapter indicator. Enter “3” or “4”,,,1,0,,,Center
1042-s,topmostSubform[0].CopyA[0].LeftColumn[0].Lines3-3b[0].f1_06[0],px_3a_exemption_code,,Text,3a Exemption code,,,2,0,,,Center
1042-s,topmostSubform[0].CopyA[0].LeftColumn[0].Lines3-3b[0].f1_07[0],px_3b_tax_rate,,Text,3b Tax rate,,,2,0,,,Right
1042-s,topmostSubform[0].CopyA[0].LeftColumn[0].Lines3-3b[0].f1_08[0],px_topmostsubform_0_copya_0_leftcolumn_0_lines3_3b_0_f1_08_0,,Text,.,,,2,0,,,Right
1042-s,topmostSubform[0].CopyA[0].LeftColumn[0].f1_09[0],px_4a_exemption_code,,Text,4a Exemption code,,,2,0,,,Center
1042-s,topmostSubform[0].CopyA[0].LeftColumn[0].f1_10[0],px_4b_tax_rate,,Text,4b Tax rate,,,2,0,,,Right
