friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
withholding_agent_name,topmostSubform[0].Page1[0].f1_1[0],1,Text,Name of withholding agent,,,
p1_ch_4_status_code,topmostSubform[0].Page1[0].StatusCodes[0].f1_2[0],1,Text,Ch. 4 status code,,,
p1_ch_3_status_code,topmostSubform[0].Page1[0].StatusCodes[0].f1_3[0],1,Text,Ch. 3 status code,,,
p1_employer_identification_number,topmostSubform[0].Page1[0].f1_4[0],1,Text,Employer identification number,,10,
taxpayer_street,topmostSubform[0].Page1[0].f1_5[0],1,Text,"Number, street, and room or suite no.",,,
taxpayer_postal_code,topmostSubform[0].Page1[0].f1_6[0],1,Text,"City or town, state or province, country, and ZIP or foreign postal code",,,
p1_chapter_4_or_chapter_3_enter_4_or_3,topmostSubform[0].Page1[0].f1_7[0],1,Text,Chapter 4 or chapter 3 (enter 4 or 3),,1,
original,topmostSubform[0].Page1[0].c1_1[0],1,Button,Original,1,,
amended,topmostSubform[0].Page1[0].c1_1[1],1,Button,Amended,2,,
p1_topmostsubform_0_page1_0_c1_2_0,topmostSubform[0].Page1[0].c1_2[0],1,Button,,1,,
p1_enter_the_number_of_paper_forms_1042_s_attached,topmostSubform[0].Page1[0].f1_8[0],1,Text,Enter the number of paper Forms 1042-S attached,,,
check_if_you_are_a_partnership_reporting_withholding_that_occurred_in_the_subsequent_year,topmostSubform[0].Page1[0].c1_3[0],1,Button,Check if you are a partnership reporting withholding that occurred in the subsequent year. See instructions.,1,,
p1_topmostsubform_0_page1_0_c1_4_0,topmostSubform[0].Page1[0].c1_4[0],1,Button,,1,,
p1_topmostsubform_0_page1_0_f1_9_0,topmostSubform[0].Page1[0].f1_9[0],1,Text,$,,,
p1_topmostsubform_0_page1_0_f1_10_0,topmostSubform[0].Page1[0].f1_10[0],1,Text,$,,,
p1_topmostsubform_0_page1_0_f1_11_0,topmostSubform[0].Page1[0].f1_11[0],1,Text,$,,,
p1_topmostsubform_0_page1_0_c1_5_0,topmostSubform[0].Page1[0].c1_5[0],1,Button,,1,,
p1_title,topmostSubform[0].Page1[0].f1_12[0],1,Text,Title,,,
p1_daytime_phone_number,topmostSubform[0].Page1[0].f1_13[0],1,Text,Daytime phone number,,,
