friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_for_calendar_year_2025_or_other_tax_year_beginning,topmostSubform[0].Page1[0].VoucherHeader[0].f1_1[0],1,Text,"For calendar year 2025, or other tax year beginning",,,
p1_2025_and_ending,topmostSubform[0].Page1[0].VoucherHeader[0].f1_2[0],1,Text,", 2025, and ending",,,
p1_20,topmostSubform[0].Page1[0].VoucherHeader[0].f1_3[0],1,Text,", 20",,2,
p1_1_your_name_s,topmostSubform[0].Page1[0].PartI_ReadOrder[0].f1_4[0],1,Text,1 Your name(s) (see instructions),,,
p1_address,topmostSubform[0].Page1[0].PartI_ReadOrder[0].f1_5[0],1,Text,Address (see instructions),,,
taxpayer_city_state_zip,topmostSubform[0].Page1[0].PartI_ReadOrder[0].f1_6[0],1,Text,"City, town, or post office",,,
p1_state,topmostSubform[0].Page1[0].PartI_ReadOrder[0].f1_7[0],1,Text,State,,2,
p1_zip_code,topmostSubform[0].Page1[0].PartI_ReadOrder[0].f1_8[0],1,Text,ZIP code,,10,
taxpayer_ssn,topmostSubform[0].Page1[0].PartI_ReadOrder[0].f1_9[0],1,Text,2 Your social security number,,11,
spouse_ssn,topmostSubform[0].Page1[0].PartI_ReadOrder[0].f1_10[0],1,Text,3 Spouse’s social security number,,11,
p1_topmostsubform_0_page1_0_f1_11_0,topmostSubform[0].Page1[0].f1_11[0],1,Text,$,,,
p1_topmostsubform_0_page1_0_f1_12_0,topmostSubform[0].Page1[0].f1_12[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_13_0,topmostSubform[0].Page1[0].f1_13[0],1,Text,,,,
p1_topmostsubform_0_page1_0_f1_14_0,topmostSubform[0].Page1[0].f1_14[0],1,Text,,,,
p1_topmostsubform_0_page1_0_c1_1_0,topmostSubform[0].Page1[0].c1_1[0],1,Button,,1,,
p1_topmostsubform_0_page1_0_c1_2_0,topmostSubform[0].Page1[0].c1_2[0],1,Button,,1,,
p3_enter_confirmation_number_here,topmostSubform[0].Page3[0].Col4[0].f3_1[0],3,Text,Enter confirmation number here:,,,
