friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_this_exemption_is_applicable_for_compensation_for_calendar_year,topmostSubform[0].Page1[0].f1_1[0],1,Text,This exemption is applicable for compensation for calendar year,,4,
p1_or_other_tax_year_beginning,topmostSubform[0].Page1[0].f1_2[0],1,Text,", or other tax year beginning",,,
p1_and_ending,topmostSubform[0].Page1[0].f1_3[0],1,Text,and ending,,,
beneficial_owner_name,topmostSubform[0].Page1[0].f1_4[0],1,Text,1 Name of individual who is the beneficial owner,,,
taxpayer_tin,topmostSubform[0].Page1[0].f1_5[0],1,Text,2 U.S. taxpayer identification number,,11,
p1_3_foreign_tax_identification_number,topmostSubform[0].Page1[0].f1_6[0],1,Text,"3 Foreign tax identification number, if any",,,
permanent_residence_street,topmostSubform[0].Page1[0].f1_7[0],1,Text,"4 Permanent residence address (street, apt. or suite no., or rural route). Do not use a P.O. box.",,,
permanent_residence_city_state_postal,topmostSubform[0].Page1[0].f1_8[0],1,Text,"City or town, state or province. Include postal code where appropriate.",,,
p1_country_do_not_abbreviate,topmostSubform[0].Page1[0].f1_9[0],1,Text,Country (do not abbreviate),,,
p1_5_address_in_the_united_states_street_apt_or_suite_no_or_rural_route_do_not_use_a_p_o_box,topmostSubform[0].Page1[0].f1_10[0],1,Text,"5 Address in the United States (street, apt. or suite no., or rural route). Do not use a P.O. box.",,,
p1_city_or_town_state_and_zip_code,topmostSubform[0].Page1[0].f1_11[0],1,Text,"City or town, state, and ZIP code",,,
p1_6_u_s_visa_type,topmostSubform[0].Page1[0].f1_12[0],1,Text,6 U.S. visa type,,,
p1_7a_country_issuing_passport,topmostSubform[0].Page1[0].f1_13[0],1,Text,7a Country issuing passport,,,
p1_7b_passport_number,topmostSubform[0].Page1[0].f1_14[0],1,Text,7b Passport number,,,
p1_8_date_of_entry_into_the_united_states,topmostSubform[0].Page1[0].f1_15[0],1,Text,8 Date of entry into the United States,,,
p1_9a_current_nonimmigrant_status,topmostSubform[0].Page1[0].f1_16[0],1,Text,9a Current nonimmigrant status,,,
p1_9b_date_your_current_nonimmigrant_status_expires,topmostSubform[0].Page1[0].f1_17[0],1,Text,9b Date your current nonimmigrant status expires,,,
if_you_are_a_foreign_student_trainee_professor_teacher_or_researcher_check_this_box,topmostSubform[0].Page1[0].c1_1[0],1,Button,"If you are a foreign student, trainee, professor/teacher, or researcher, check this box ▶",Yes,,
p2_description_of_personal_services_you_are_providing,topmostSubform[0].Page2[0].f2_1[0],2,Text,Description of personal services you are providing,,,
p2_topmostsubform_0_page2_0_f2_2_0,topmostSubform[0].Page2[0].f2_2[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_3_0,topmostSubform[0].Page2[0].f2_3[0],2,Text,,,,
p2_total_compensation_you_expect_to_be_paid_for_these_services_in_this_calendar_or_tax_year,topmostSubform[0].Page2[0].f2_4[0],2,Text,Total compensation you expect to be paid for these services in this calendar or tax year $,,,
p2_tax_treaty_on_which_you_are_basing_exemption_from_withholding,topmostSubform[0].Page2[0].f2_5[0],2,Text,Tax treaty on which you are basing exemption from withholding,,,
p2_treaty_article_on_which_you_are_basing_exemption_from_withholding,topmostSubform[0].Page2[0].f2_6[0],2,Text,Treaty article on which you are basing exemption from withholding,,,
p2_total_compensation_listed_on_line_11b_above_that_is_exempt_from_tax_under_this_treaty,topmostSubform[0].Page2[0].f2_7[0],2,Text,Total compensation listed on line 11b above that is exempt from tax under this treaty $,,,
p2_country_of_residence,topmostSubform[0].Page2[0].f2_8[0],2,Text,Country of residence,,,
p2_amount,topmostSubform[0].Page2[0].f2_9[0],2,Text,Amount $,,,
p2_tax_treaty_on_which_you_are_basing_exemption_from_withholding_2,topmostSubform[0].Page2[0].f2_10[0],2,Text,Tax treaty on which you are basing exemption from withholding,,,
p2_treaty_article_on_which_you_are_basing_exemption_from_withholding_2,topmostSubform[0].Page2[0].f2_11[0],2,Text,Treaty article on which you are basing exemption from withholding,,,
p2_total_income_listed_on_line_13a_above_that_is_exempt_from_tax_under_this_treaty,topmostSubform[0].Page2[0].f2_12[0],2,Text,Total income listed on line 13a above that is exempt from tax under this treaty $,,,
p2_sufficient_facts_to_justify_the_exemption_from_withholding_claimed_on_line_12_and_or_line_13,topmostSubform[0].Page2[0].f2_13[0],2,Text,Sufficient facts to justify the exemption from withholding claimed on line 12 and/or line 13 (see instructions),,,
p2_topmostsubform_0_page2_0_f2_14_0,topmostSubform[0].Page2[0].f2_14[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_15_0,topmostSubform[0].Page2[0].f2_15[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_16_0,topmostSubform[0].Page2[0].f2_16[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_17_0,topmostSubform[0].Page2[0].f2_17[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_18_0,topmostSubform[0].Page2[0].f2_18[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_19_0,topmostSubform[0].Page2[0].f2_19[0],2,Text,,,,
p2_topmostsubform_0_page2_0_f2_20_0,topmostSubform[0].Page2[0].f2_20[0],2,Text,,,,
