form_id,field_name,friendly_name,page,field_type,caption,state_options,xfa_items,max_length,field_flags,access,presence,justification
8233,topmostSubform[0].Page1[0].f1_1[0],p1_this_exemption_is_applicable_for_compensation_for_calendar_year,1,Text,This exemption is applicable for compensation for calendar year,,,4,0,,,Center
8233,topmostSubform[0].Page1[0].f1_2[0],p1_or_other_tax_year_beginning,1,Text,", or other tax year beginning",,,,8388608,,,Center
8233,topmostSubform[0].Page1[0].f1_3[0],p1_and_ending,1,Text,and ending,,,,8388608,,,Center
8233,topmostSubform[0].Page1[0].f1_4[0],beneficial_owner_name,1,Text,1 Name of individual who is the beneficial owner,,,,8388608,,,Left
8233,topmostSubform[0].Page1[0].f1_5[0],taxpayer_tin,1,Text,2 U.S. taxpayer identification number,,,11,0,,,Center
8233,topmostSubform[0].Page1[0].f1_6[0],p1_3_foreign_tax_identification_number,1,Text,"3 Foreign tax identification number, if any",,,,8388608,,,Center
8233,topmostSubform[0].Page1[0].f1_7[0],permanent_residence_street,1,Text,"4 Permanent residence address (street, apt. or suite no., or rural route). Do not use a P.O. box.",,,,8388608,,,Left
8233,topmostSubform[0].Page1[0].f1_8[0],permanent_residence_city_state_postal,1,Text,"City or town, state or province. Include postal code where appropriate.",,,,8388608,,,Left
8233,topmostSubform[0].Page1[0].f1_9[0],p1_country_do_not_abbreviate,1,Text,Country (do not abbreviate),,,,8388608,,,Left
8233,topmostSubform[0].Page1[0].f1_10[0],p1_5_address_in_the_united_states_street_apt_or_suite_no_or_rural_route_do_not_use_a_p_o_box,1,Text,"5 Address in the United States (street, apt. or suite no., or rural route). Do not use a P.O. box.",,,,8388608,,,Left
8233,topmostSubform[0].Page1[0].f1_11[0],p1_city_or_town_state_and_zip_code,1,Text,"City or town, state, and ZIP code",,,,8388608,,,Left
8233,topmostSubform[0].Page1[0].f1_12[0],p1_6_u_s_visa_type,1,Text,6 U.S. visa type,,,,8388608,,,Left
8233,topmostSubform[0].Page1[0].f1_13[0],p1_7a_country_issuing_passport,1,Text,7a Country issuing passport,,,,8388608,,,Left
8233,topmostSubform[0].Page1[0].f1_14[0],p1_7b_passport_number,1,Text,7b Passport number,,,,8388608,,,Center
8233,topmostSubform[0].Page1[0].f1_15[0],p1_8_date_of_entry_into_the_united_states,1,Text,8 Date of entry into the United States,,,,8388608,,,Center
8233,topmostSubform[0].Page1[0].f1_16[0],p1_9a_current_nonimmigrant_status,1,Text,9a Current nonimmigrant status,,,,8388608,,,Left
8233,topmostSubform[0].Page1[0].f1_17[0],p1_9b_date_your_current_nonimmigrant_status_expires,1,Text,9b Date your current nonimmigrant status expires,,,,8388608,,,Center
8233,topmostSubform[0].Page1[0].c1_1[0],if_you_are_a_foreign_student_trainee_professor_teacher_or_researcher_check_this_box,1,Button,"If you are a foreign student, trainee, professor/teacher, or researcher, check this box ▶",Yes,Yes|Off,,0,,,Left
8233,topmostSubform[0].Page2[0].f2_1[0],p2_description_of_personal_services_you_are_providing,2,Text,Description of personal services you are providing,,,,8388608,,,Left
8233,topmostSubform[0].Page2[0].f2_2[0],p2_topmostsubform_0_page2_0_f2_2_0,2,Text,,,,,8388608,,,Left
8233,topmostSubform[0].Page2[0].f2_3[0],p2_topmostsubform_0_page2_0_f2_3_0,2,Text,,,,,8388608,,,Left
