form_id,field_name,friendly_name,page,field_type,caption,state_options,xfa_items,max_length,field_flags,access,presence,justification
8283,Form8283[0].Page1[0].f1_1[0],p1_name_s_shown_on_your_income_tax_return,1,Text,Name(s) shown on your income tax return,,,,8388608,,,Left
8283,Form8283[0].Page1[0].f1_2[0],taxpayer_tin,1,Text,Identifying number,,,11,0,,,Center
8283,Form8283[0].Page1[0].f1_3[0],p1_name,1,Text,Name:,,,,8388608,,,Left
8283,Form8283[0].Page1[0].f1_4[0],taxpayer_tin_2,1,Text,Identifying number:,,,11,0,,,Center
8283,Form8283[0].Page1[0].c1_1[0],p1_form8283_0_page1_0_c1_1_0,1,Button,,1,1|0,,0,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1A[0].f1_5[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1a_0_f1_5_0,1,Text,,,,,8392704,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1A[0].ColB[0].c1_2[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1a_0_colb_0_c1_2_0,1,Button,,1,1|0,,0,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1A[0].ColB[0].f1_6[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1a_0_colb_0_f1_6_0,1,Text,,,,17,25165824,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1A[0].f1_7[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1a_0_f1_7_0,1,Text,,,,,8392704,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1B[0].f1_8[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1b_0_f1_8_0,1,Text,,,,,8392704,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1B[0].ColB[0].c1_3[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1b_0_colb_0_c1_3_0,1,Button,,1,1|0,,0,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1B[0].ColB[0].f1_9[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1b_0_colb_0_f1_9_0,1,Text,,,,17,25165824,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1B[0].f1_10[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1b_0_f1_10_0,1,Text,,,,,8392704,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1C[0].f1_11[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1c_0_f1_11_0,1,Text,,,,,8392704,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1C[0].ColB[0].c1_4[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1c_0_colb_0_c1_4_0,1,Button,,1,1|0,,0,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1C[0].ColB[0].f1_12[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1c_0_colb_0_f1_12_0,1,Text,,,,17,25165824,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1C[0].f1_13[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1c_0_f1_13_0,1,Text,,,,,8392704,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1D[0].f1_14[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1d_0_f1_14_0,1,Text,,,,,8392704,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1D[0].ColB[0].c1_5[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1d_0_colb_0_c1_5_0,1,Button,,1,1|0,,0,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1D[0].ColB[0].f1_15[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1d_0_colb_0_f1_15_0,1,Text,,,,17,25165824,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsA-C[0].Row1D[0].f1_16[0],p1_form8283_0_page1_0_table_line1_colsa_c_0_row1d_0_f1_16_0,1,Text,,,,,8392704,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1A[0].f1_17[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1a_0_f1_17_0,1,Text,,,,,8388608,,,Center
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1A[0].f1_18[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1a_0_f1_18_0,1,Text,,,,,8388608,,,Center
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1A[0].f1_19[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1a_0_f1_19_0,1,Text,,,,,8388608,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1A[0].f1_20[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1a_0_f1_20_0,1,Text,,,,,8388608,,,Right
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1A[0].f1_21[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1a_0_f1_21_0,1,Text,,,,,8388608,,,Right
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1A[0].f1_22[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1a_0_f1_22_0,1,Text,,,,,8388608,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1B[0].f1_23[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1b_0_f1_23_0,1,Text,,,,,8388608,,,Center
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1B[0].f1_24[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1b_0_f1_24_0,1,Text,,,,,8388608,,,Center
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1B[0].f1_25[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1b_0_f1_25_0,1,Text,,,,,8388608,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1B[0].f1_26[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1b_0_f1_26_0,1,Text,,,,,8388608,,,Right
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1B[0].f1_27[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1b_0_f1_27_0,1,Text,,,,,8388608,,,Right
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1B[0].f1_28[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1b_0_f1_28_0,1,Text,,,,,8388608,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1C[0].f1_29[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1c_0_f1_29_0,1,Text,,,,,8388608,,,Center
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1C[0].f1_30[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1c_0_f1_30_0,1,Text,,,,,8388608,,,Center
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1C[0].f1_31[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1c_0_f1_31_0,1,Text,,,,,8388608,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1C[0].f1_32[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1c_0_f1_32_0,1,Text,,,,,8388608,,,Right
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1C[0].f1_33[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1c_0_f1_33_0,1,Text,,,,,8388608,,,Right
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1C[0].f1_34[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1c_0_f1_34_0,1,Text,,,,,8388608,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1D[0].f1_35[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1d_0_f1_35_0,1,Text,,,,,8388608,,,Center
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1D[0].f1_36[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1d_0_f1_36_0,1,Text,,,,,8388608,,,Center
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1D[0].f1_37[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1d_0_f1_37_0,1,Text,,,,,8388608,,,Left
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1D[0].f1_38[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1d_0_f1_38_0,1,Text,,,,,8388608,,,Right
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1D[0].f1_39[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1d_0_f1_39_0,1,Text,,,,,8388608,,,Right
8283,Form8283[0].Page1[0].Table_Line1_ColsD-I[0].Row1D[0].f1_40[0],p1_form8283_0_page1_0_table_line1_colsd_i_0_row1d_0_f1_40_0,1,Text,,,,,8388608,,,Left
8283,Form8283[0].Page1[0].Lines2a-c[0].c1_6[0],art_contribution_of_20_000_or_more,1,Button,"Art (contribution of $20,000 or more)",1,1|0|2,,0,,,Left
8283,Form8283[0].Page1[0].Lines2a-c[0].c1_6[1],qualified_conservation_contribution,1,Button,Qualified conservation contribution,2,2|0,,0,,,Left
8283,Form8283[0].Page1[0].Lines2a-c[0].c1_7[0],certified_historic_structure,1,Button,Certified historic structure,1,1|0,,0,,,Left
8283,Form8283[0].Page1[0].Lines2a-c[0].f1_41[0],p1_nps,1,Text,NPS #,,,,8388608,,,Center
8283,Form8283[0].Page1[0].Lines2a-c[0].c1_6[2],art_contribution_of_less_than_20_000,1,Button,"Art (contribution of less than $20,000)",3,3|0,,0,,,Left
8283,Form8283[0].Page1[0].Lines2d-h[0].c1_6[0],other_real_estate,1,Button,Other real estate,4,4|0,,0,,,Left
8283,Form8283[0].Page1[0].Lines2d-h[0].c1_6[1],equipment,1,Button,Equipment,5,5|0,,0,,,Left
8283,Form8283[0].Page1[0].Lines2d-h[0].c1_6[2],securities,1,Button,Securities,6,6|0,,0,,,Left
8283,Form8283[0].Page1[0].Lines2d-h[0].c1_6[3],collectibles,1,Button,Collectibles,7,7|0,,0,,,Left
8283,Form8283[0].Page1[0].Lines2d-h[0].c1_6[4],intellectual_property,1,Button,Intellectual property,8,8|0,,0,,,Left
8283,Form8283[0].Page1[0].Lines2i-l[0].c1_6[0],vehicles,1,Button,Vehicles,9,9|0,,0,,,Left
8283,Form8283[0].Page1[0].Lines2i-l[0].c1_6[1],clothing_and_household_items,1,Button,Clothing and household items,10,10|0,,0,,,Left
8283,Form8283[0].Page1[0].Lines2i-l[0].c1_6[2],digital_assets,1,Button,Digital assets,11,11|0,,0,,,Left
8283,Form8283[0].Page1[0].Lines2i-l[0].c1_6[3],other,1,Button,Other,12,12|0,,0,,,Left
8283,Form8283[0].Page1[0].Table_Line3_ColsA-C[0].Row3A[0].f1_42[0],p1_form8283_0_page1_0_table_line3_colsa_c_0_row3a_0_f1_42_0,1,Text,,,,,8388608,,,Left
