friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_for_calendar_year_20,topmostSubform[0].Page1[0].f1_01[0],1,Text,For calendar year 20,,2,
p1_or_tax_year_beginning,topmostSubform[0].Page1[0].f1_02[0],1,Text,", or tax year beginning",,,
p1_20,topmostSubform[0].Page1[0].f1_03[0],1,Text,", 20",,2,
p1_and_ending,topmostSubform[0].Page1[0].f1_04[0],1,Text,", and ending",,,
p1_20_2,topmostSubform[0].Page1[0].f1_05[0],1,Text,", 20",,2,
p1_topmostsubform_0_page1_0_c1_1_0,topmostSubform[0].Page1[0].c1_1[0],1,Button,,1,,
p1_1a_name_of_partnership,topmostSubform[0].Page1[0].Line1[0].f1_06[0],1,Text,1a Name of partnership,,,
p1_b_u_s_employer_identification_number_ein,topmostSubform[0].Page1[0].Line1[0].f1_07[0],1,Text,b U.S. employer identification number (EIN),,10,
p1_c_number_and_street_if_a_p_o_box,topmostSubform[0].Page1[0].Line1[0].f1_08[0],1,Text,"c Number and street. If a P.O. box, see instructions.",,,
p1_d_room_or_suite_no,topmostSubform[0].Page1[0].Line1[0].f1_09[0],1,Text,d Room or suite no.,,,
p1_e_city_or_town,topmostSubform[0].Page1[0].Line1[0].f1_10[0],1,Text,e City or town,,,
p1_f_state_or_province,topmostSubform[0].Page1[0].Line1[0].f1_11[0],1,Text,f State or province,,,
p1_g_country,topmostSubform[0].Page1[0].Line1[0].f1_12[0],1,Text,g Country,,,
taxpayer_postal_code,topmostSubform[0].Page1[0].Line1[0].f1_13[0],1,Text,h ZIP or foreign postal code,,,
withholding_agent_name,topmostSubform[0].Page1[0].f1_14[0],1,Text,"2a Name of withholding agent. If partnership is also the withholding agent, enter “SAME” and don’t complete lines 2b through 2h.",,,
p1_b_withholding_agents_u_s_ein,topmostSubform[0].Page1[0].f1_15[0],1,Text,b Withholding agent’s U.S. EIN,,10,
p1_c_number_and_street_if_a_p_o_box_2,topmostSubform[0].Page1[0].f1_16[0],1,Text,"c Number and street. If a P.O. box, see instructions.",,,
p1_d_room_or_suite_no_2,topmostSubform[0].Page1[0].f1_17[0],1,Text,d Room or suite no.,,,
p1_e_city_or_town_2,topmostSubform[0].Page1[0].f1_18[0],1,Text,e City or town,,,
p1_f_state_or_province_2,topmostSubform[0].Page1[0].f1_19[0],1,Text,f State or province,,,
p1_g_country_2,topmostSubform[0].Page1[0].f1_20[0],1,Text,g Country,,,
