friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
px_for_partnerships_calendar_year,topmostSubform[0].CopyA[0].f1_01[0],,Text,For partnership’s calendar year,,4,
px_or_tax_year_beginning,topmostSubform[0].CopyA[0].f1_02[0],,Text,", or tax year beginning",,,
px_20,topmostSubform[0].CopyA[0].f1_03[0],,Text,", 20",,2,
px_and_ending,topmostSubform[0].CopyA[0].f1_04[0],,Text,", and ending",,,
px_20_2,topmostSubform[0].CopyA[0].f1_05[0],,Text,", 20",,2,
px_1a_foreign_partners_name,topmostSubform[0].CopyA[0].Lines1-4[0].f1_06[0],,Text,1a Foreign partner’s name,,,
px_b_u_s_identifying_number,topmostSubform[0].CopyA[0].Lines1-4[0].f1_07[0],,Text,b U.S. identifying number,,,
px_c_address_if_a_foreign_address,topmostSubform[0].CopyA[0].Lines1-4[0].f1_08[0],,Text,"c Address (if a foreign address, see instructions)",,,
px_2_account_number_assigned_by_partnership,topmostSubform[0].CopyA[0].Lines1-4[0].f1_09[0],,Text,2 Account number assigned by partnership (if any),,,
px_3_type_of_partner_specifysee_instructions,topmostSubform[0].CopyA[0].Lines1-4[0].f1_10[0],,Text,3 Type of partner (specify—see instructions) ▶,,,
px_4_country_code_of_partner_enter_two_letter_codesee_instructions,topmostSubform[0].CopyA[0].Lines1-4[0].f1_11[0],,Text,4 Country code of partner (enter two-letter code—see instructions),,2,
px_5a_name_of_partnership,topmostSubform[0].CopyA[0].f1_12[0],,Text,5a Name of partnership,,,
px_b_u_s_employer_identification_number_ein,topmostSubform[0].CopyA[0].f1_13[0],,Text,b U.S. Employer Identification Number (EIN),,10,
px_c_address_if_a_foreign_address_2,topmostSubform[0].CopyA[0].f1_14[0],,Text,"c Address (if a foreign address, see instructions)",,,
px_6_withholding_agents_name_if_partnership_is_also_the_withholding_agent_enter_same_and_do_not_complete_line_7,topmostSubform[0].CopyA[0].f1_15[0],,Text,"6 Withholding agent’s name. If partnership is also the withholding agent, enter “SAME” and do not complete line 7.",,,
px_7_withholding_agents_u_s_ein,topmostSubform[0].CopyA[0].f1_16[0],,Text,7 Withholding agent’s U.S. EIN,,10,
px_topmostsubform_0_copya_0_c1_1_0,topmostSubform[0].CopyA[0].c1_1[0],,Button,,1,,
px_topmostsubform_0_copya_0_c1_2_0,topmostSubform[0].CopyA[0].c1_2[0],,Button,,1,,
px_topmostsubform_0_copya_0_f1_17_0,topmostSubform[0].CopyA[0].f1_17[0],,Text,,,,
px_topmostsubform_0_copya_0_f1_18_0,topmostSubform[0].CopyA[0].f1_18[0],,Text,,,,
px_11a_name_of_beneficiary,topmostSubform[0].CopyA[0].Line11_ReadOrder[0].f1_19[0],,Text,11a Name of beneficiary,,,
px_b_u_s_identifying_number_of_beneficiary,topmostSubform[0].CopyA[0].Line11_ReadOrder[0].f1_20[0],,Text,b U.S. identifying number of beneficiary,,,
px_c_address_if_a_foreign_address_3,topmostSubform[0].CopyA[0].f1_21[0],,Text,"c Address (if a foreign address, see instructions)",,,
px_topmostsubform_0_copya_0_f1_22_0,topmostSubform[0].CopyA[0].f1_22[0],,Text,,,,
px_topmostsubform_0_copya_0_f1_23_0,topmostSubform[0].CopyA[0].f1_23[0],,Text,,,,
px_for_partnerships_calendar_year_2,topmostSubform[0].CopyB[0].f1_01[0],,Text,For partnership’s calendar year,,4,
px_or_tax_year_beginning_2,topmostSubform[0].CopyB[0].f1_02[0],,Text,", or tax year beginning",,,
px_20_3,topmostSubform[0].CopyB[0].f1_03[0],,Text,", 20",,2,
px_and_ending_2,topmostSubform[0].CopyB[0].f1_04[0],,Text,", and ending",,,
px_20_4,topmostSubform[0].CopyB[0].f1_05[0],,Text,", 20",,2,
px_1a_foreign_partners_name_2,topmostSubform[0].CopyB[0].Lines1-4[0].f1_06[0],,Text,1a Foreign partner’s name,,,
px_b_u_s_identifying_number_2,topmostSubform[0].CopyB[0].Lines1-4[0].f1_07[0],,Text,b U.S. identifying number,,,
px_c_address_if_a_foreign_address_4,topmostSubform[0].CopyB[0].Lines1-4[0].f1_08[0],,Text,"c Address (if a foreign address, see instructions)",,,
px_2_account_number_assigned_by_partnership_2,topmostSubform[0].CopyB[0].Lines1-4[0].f1_09[0],,Text,2 Account number assigned by partnership (if any),,,
px_3_type_of_partner_specifysee_instructions_2,topmostSubform[0].CopyB[0].Lines1-4[0].f1_10[0],,Text,3 Type of partner (specify—see instructions) ▶,,,
px_4_country_code_of_partner_enter_two_letter_codesee_instructions_2,topmostSubform[0].CopyB[0].Lines1-4[0].f1_11[0],,Text,4 Country code of partner (enter two-letter code—see instructions),,2,
px_5a_name_of_partnership_2,topmostSubform[0].CopyB[0].f1_12[0],,Text,5a Name of partnership,,,
px_b_u_s_employer_identification_number_ein_2,topmostSubform[0].CopyB[0].f1_13[0],,Text,b U.S. Employer Identification Number (EIN),,10,
px_c_address_if_a_foreign_address_5,topmostSubform[0].CopyB[0].f1_14[0],,Text,"c Address (if a foreign address, see instructions)",,,
px_6_withholding_agents_name_if_partnership_is_also_the_withholding_agent_enter_same_and_do_not_complete_line_7_2,topmostSubform[0].CopyB[0].f1_15[0],,Text,"6 Withholding agent’s name. If partnership is also the withholding agent, enter “SAME” and do not complete line 7.",,,
px_7_withholding_agents_u_s_ein_2,topmostSubform[0].CopyB[0].f1_16[0],,Text,7 Withholding agent’s U.S. EIN,,10,
px_topmostsubform_0_copyb_0_c1_1_0,topmostSubform[0].CopyB[0].c1_1[0],,Button,,1,,
px_topmostsubform_0_copyb_0_c1_2_0,topmostSubform[0].CopyB[0].c1_2[0],,Button,,1,,
px_topmostsubform_0_copyb_0_f1_17_0,topmostSubform[0].CopyB[0].f1_17[0],,Text,,,,
px_topmostsubform_0_copyb_0_f1_18_0,topmostSubform[0].CopyB[0].f1_18[0],,Text,,,,
px_11a_name_of_beneficiary_2,topmostSubform[0].CopyB[0].Line11_ReadOrder[0].f1_19[0],,Text,11a Name of beneficiary,,,
px_b_u_s_identifying_number_of_beneficiary_2,topmostSubform[0].CopyB[0].Line11_ReadOrder[0].f1_20[0],,Text,b U.S. identifying number of beneficiary,,,
px_c_address_if_a_foreign_address_6,topmostSubform[0].CopyB[0].f1_21[0],,Text,"c Address (if a foreign address, see instructions)",,,
px_topmostsubform_0_copyb_0_f1_22_0,topmostSubform[0].CopyB[0].f1_22[0],,Text,,,,
px_topmostsubform_0_copyb_0_f1_23_0,topmostSubform[0].CopyB[0].f1_23[0],,Text,,,,
px_for_partnerships_calendar_year_3,topmostSubform[0].CopyC[0].f1_01[0],,Text,For partnership’s calendar year,,4,
px_or_tax_year_beginning_3,topmostSubform[0].CopyC[0].f1_02[0],,Text,", or tax year beginning",,,
px_20_5,topmostSubform[0].CopyC[0].f1_03[0],,Text,", 20",,2,
px_and_ending_3,topmostSubform[0].CopyC[0].f1_04[0],,Text,", and ending",,,
px_20_6,topmostSubform[0].CopyC[0].f1_05[0],,Text,", 20",,2,
px_1a_foreign_partners_name_3,topmostSubform[0].CopyC[0].Lines1-4[0].f1_06[0],,Text,1a Foreign partner’s name,,,
px_b_u_s_identifying_number_3,topmostSubform[0].CopyC[0].Lines1-4[0].f1_07[0],,Text,b U.S. identifying number,,,
px_c_address_if_a_foreign_address_7,topmostSubform[0].CopyC[0].Lines1-4[0].f1_08[0],,Text,"c Address (if a foreign address, see instructions)",,,
