form_id,field_name,friendly_name,page,field_type,caption,state_options,xfa_items,max_length,field_flags,access,presence,justification
8863,topmostSubform[0].Page1[0].f1_1[0],name_shown_on_return,1,Text,Name(s) shown on return,,,,8388608,,,Left
8863,topmostSubform[0].Page1[0].SocialSecurity[0].f1_2[0],p1_topmostsubform_0_page1_0_socialsecurity_0_f1_2_0,1,Text,,,,3,0,,,Center
8863,topmostSubform[0].Page1[0].SocialSecurity[0].f1_3[0],p1_topmostsubform_0_page1_0_socialsecurity_0_f1_3_0,1,Text,,,,2,0,,,Center
8863,topmostSubform[0].Page1[0].SocialSecurity[0].f1_4[0],p1_topmostsubform_0_page1_0_socialsecurity_0_f1_4_0,1,Text,,,,4,0,,,Center
8863,topmostSubform[0].Page1[0].f1_5[0],p1_topmostsubform_0_page1_0_f1_5_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_6[0],p1_topmostsubform_0_page1_0_f1_6_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_7[0],p1_topmostsubform_0_page1_0_f1_7_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_8[0],p1_topmostsubform_0_page1_0_f1_8_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_9[0],p1_topmostsubform_0_page1_0_f1_9_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_10[0],p1_topmostsubform_0_page1_0_f1_10_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_11[0],p1_topmostsubform_0_page1_0_f1_11_0,1,Text,.,,,,8388608,,,Left
8863,topmostSubform[0].Page1[0].c1_1[0],p1_topmostsubform_0_page1_0_c1_1_0,1,Button,,1,1|0,,0,,,Left
8863,topmostSubform[0].Page1[0].f1_12[0],p1_topmostsubform_0_page1_0_f1_12_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_13[0],p1_topmostsubform_0_page1_0_f1_13_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_14[0],p1_topmostsubform_0_page1_0_f1_14_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_15[0],p1_topmostsubform_0_page1_0_f1_15_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_16[0],p1_topmostsubform_0_page1_0_f1_16_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_17[0],p1_topmostsubform_0_page1_0_f1_17_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_18[0],p1_topmostsubform_0_page1_0_f1_18_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_19[0],p1_topmostsubform_0_page1_0_f1_19_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_20[0],p1_topmostsubform_0_page1_0_f1_20_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_21[0],p1_topmostsubform_0_page1_0_f1_21_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_22[0],p1_topmostsubform_0_page1_0_f1_22_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_23[0],p1_topmostsubform_0_page1_0_f1_23_0,1,Text,.,,,,8388608,,,Left
8863,topmostSubform[0].Page1[0].f1_24[0],p1_topmostsubform_0_page1_0_f1_24_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page1[0].f1_25[0],p1_topmostsubform_0_page1_0_f1_25_0,1,Text,,,,,8388608,,,Right
8863,topmostSubform[0].Page2[0].f2_1[0],name_shown_on_return_2,2,Text,Name(s) shown on return,,,,8388608,,,Left
8863,topmostSubform[0].Page2[0].SSN[0].f2_2[0],p2_topmostsubform_0_page2_0_ssn_0_f2_2_0,2,Text,,,,3,0,,,Center
8863,topmostSubform[0].Page2[0].SSN[0].f2_3[0],p2_topmostsubform_0_page2_0_ssn_0_f2_3_0,2,Text,,,,2,0,,,Center
8863,topmostSubform[0].Page2[0].SSN[0].f2_4[0],p2_topmostsubform_0_page2_0_ssn_0_f2_4_0,2,Text,,,,4,0,,,Center
8863,topmostSubform[0].Page2[0].f2-5[0],p2_student_name_as_shown_on_page_1_of_your_tax_return,2,Text,Student name (as shown on page 1 of your tax return),,,,8388608,,,Left
8863,topmostSubform[0].Page2[0].StudentSSN[0].f2_6[0],p2_topmostsubform_0_page2_0_studentssn_0_f2_6_0,2,Text,,,,3,0,,,Center
