friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_name_as_shown_on_your_tax_returns,topmostSubform[0].Page1[0].f1_01_0_[0],1,Text,Name (as shown on your tax returns; see instructions),,,
p1_business_name_disregarded_entity_name_if_different_from_above,topmostSubform[0].Page1[0].f1_02_0_[0],1,Text,"Business name/disregarded entity name, if different from above",,,
individual_sole_proprietor,topmostSubform[0].Page1[0].FedClassification[0].c1_01[0],1,Button,Individual/sole proprietor,1,,
c_corporation,topmostSubform[0].Page1[0].FedClassification[0].c1_01[1],1,Button,C corporation,2,,
s_corporation,topmostSubform[0].Page1[0].FedClassification[0].c1_01[2],1,Button,S corporation,3,,
partnership,topmostSubform[0].Page1[0].FedClassification[0].c1_01[3],1,Button,Partnership,4,,
trust_estate,topmostSubform[0].Page1[0].FedClassification[0].c1_01[4],1,Button,Trust/estate,5,,
p1_topmostsubform_0_page1_0_fedclassification_0_c1_01_5,topmostSubform[0].Page1[0].FedClassification[0].c1_01[5],1,Button,,6,,
p1_limited_liability_company_enter_the_tax_classification_c_c_corporation_s_s_corporation_p_partnership,topmostSubform[0].Page1[0].FedClassification[0].f1_03_0_[0],1,Text,"Limited liability company (see instructions). Enter the tax classification (C=C corporation, S=S corporation, P=partnership) ▶",,1,
p1_topmostsubform_0_page1_0_fedclassification_0_c1_01_6,topmostSubform[0].Page1[0].FedClassification[0].c1_01[6],1,Button,,7,,
p1_other,topmostSubform[0].Page1[0].FedClassification[0].f1_50_0_[0],1,Text,Other (see instructions) ▶,,,
p1_address_number_street_and_apt_or_suite_no,topmostSubform[0].Page1[0].Address[0].f1_04_0_[0],1,Text,"Address (number, street, and apt. or suite no.)",,,
p1_city_state_and_zip_code,topmostSubform[0].Page1[0].Address[0].f1_05_0_[0],1,Text,"City, state, and ZIP code",,,
p1_requesters_name_and_address,topmostSubform[0].Page1[0].f1_06_0_[0],1,Text,Requester’s name and address,,,
p1_topmostsubform_0_page1_0_employeridentifi_0_f1_07_0,topmostSubform[0].Page1[0].Employeridentifi[0].f1_07[0],1,Text,,,2,
p1_topmostsubform_0_page1_0_employeridentifi_0_f1_08_0,topmostSubform[0].Page1[0].Employeridentifi[0].f1_08[0],1,Text,,,7,
p1_type_or_write_name_and_title,topmostSubform[0].Page1[0].f1_09_0_[0],1,Text,Type or write name and title ▶,,,
