form_id,field_name,friendly_name,page,field_type,caption,state_options,xfa_items,max_length,field_flags,access,presence,justification
w-14,topmostSubform[0].Page1[0].f1_01[0],p1_1_name_of_foreign_contracting_party,1,Text,1 Name of foreign contracting party,,,,8388608,,,Left
w-14,topmostSubform[0].Page1[0].f1_02[0],p1_2_country_of_incorporation_or_organization_if_applicable_do_not_abbreviate_the_name_of_the_country,1,Text,"2 Country of incorporation or organization, if applicable (do not abbreviate the name of the country)",,,,8388608,,,Left
w-14,topmostSubform[0].Page1[0].f1_03[0],permanent_residence_street,1,Text,"3 Permanent residence address (street, apt. or suite no., or rural route). Do not use a P.O. box or in-care-of address.",,,,8388608,,,Left
w-14,topmostSubform[0].Page1[0].f1_04[0],permanent_residence_city_state_postal,1,Text,"City or town, state or province. Include postal code where appropriate.",,,,8388608,,,Left
w-14,topmostSubform[0].Page1[0].f1_05[0],p1_country_do_not_abbreviate,1,Text,Country (do not abbreviate),,,,8388608,,,Left
w-14,topmostSubform[0].Page1[0].f1_06[0],p1_4_mailing_address_if_different_from_above,1,Text,4 Mailing address (if different from above),,,,8388608,,,Left
w-14,topmostSubform[0].Page1[0].f1_07[0],permanent_residence_city_state_postal_2,1,Text,"City or town, state or province. Include postal code where appropriate.",,,,8388608,,,Left
w-14,topmostSubform[0].Page1[0].f1_08[0],p1_country_do_not_abbreviate_2,1,Text,Country (do not abbreviate),,,,8388608,,,Left
w-14,topmostSubform[0].Page1[0].f1_09[0],p1_topmostsubform_0_page1_0_f1_09_0,1,Text,,,,11,0,,,Center
w-14,topmostSubform[0].Page1[0].f1_10[0],p1_6_contract_reference_number_if_known,1,Text,6 Contract/reference number (if known),,,,8388608,,,Center
w-14,topmostSubform[0].Page1[0].f1_11[0],p1_7_name_and_address_of_the_acquiring_agency,1,Text,7 Name and address of the acquiring agency,,,,8388608,,,Left
w-14,topmostSubform[0].Page1[0].f1_12[0],p1_country_do_not_abbreviate_3,1,Text,Country (do not abbreviate),,,,8388608,,,Left
w-14,topmostSubform[0].Page1[0].f1_13[0],permanent_residence_city_state_postal_3,1,Text,"City or town, state or province. Include postal code where appropriate.",,,,8388608,,,Left
w-14,topmostSubform[0].Page1[0].c1_01[0],p1_topmostsubform_0_page1_0_c1_01_0,1,Button,,1,1|0,,0,,,Left
w-14,topmostSubform[0].Page1[0].c1_02[0],p1_topmostsubform_0_page1_0_c1_02_0,1,Button,,1,1|0,,0,,,Left
w-14,topmostSubform[0].Page1[0].f1_14[0],p1_10_total_contract_price_or_estimated_total_contract_price,1,Text,10 Total contract price or estimated total contract price,,,10,0,,,Center
w-14,topmostSubform[0].Page1[0].f1_15[0],p1_11_nonexempt_amount_or_estimated_nonexempt_amount,1,Text,11 Nonexempt amount or estimated nonexempt amount,,,10,0,,,Center
w-14,topmostSubform[0].Page1[0].f1_16[0],p1_12_contract_ratio_line_11_divided_by_line_10,1,Text,12 Contract ratio (line 11 divided by line 10),,,10,0,,,Center
w-14,topmostSubform[0].Page1[0].f1_17[0],p1_13_if_you_checked_the_box_in_part_ii_state_the_name_of_the_agreement_and_specific_provision_relied_upon_for_example_the_nondiscrimination_article_of_a_qualified_income_tax_treaty_and_the_basis_on_which_you_are_entitled_to_the_benefits_of_that_provision_for_example_because_you_are_a_corporation_organized_in_a_foreign_country_with_which_the_united_states_has_a_qualified_income_tax_treaty_that_covers_all_nationals_use_additional_sheets_as_necessary,1,Text,"13 If you checked the box in Part II, state the name of the agreement and specific provision relied upon (for example, the nondiscrimination article of a qualified income tax treaty); and the basis on which you are entitled to the benefits of that provision (for example, because you are a corporation organized in a foreign country with which the United States has a qualified income tax treaty that covers all nationals). (Use additional sheets as necessary.)",,,,8392704,,,Left
w-14,topmostSubform[0].Page2[0].f2_01[0],p2_14_if_you_completed_part_iii_but_did_not_check_the_box_on_line_9_state_the_relevant_countries_where_the_goods_are_manufactured_or_produced_or_services_are_provided_and_the_international_procurement_agreements_relied_upon_if_relevant_if_applicable_explain_the_method_relied_upon_to_allocate_the_total_contract_price_between_exempt_and_nonexempt_amounts_use_additional_sheets_as_necessary,2,Text,"14 If you completed Part III, but did not check the box on line 9, state the relevant countries where the goods are manufactured or produced or services are provided and the international procurement agreements relied upon, if relevant. If applicable, explain the method relied upon to allocate the total contract price between exempt and nonexempt amounts. (Use additional sheets as necessary.)",,,,8392704,,,Left
w-14,topmostSubform[0].Page2[0].f2_02[0],p2_15_if_you_checked_the_box_on_line_9_provide_an_explanation_for_each_item_by_stating_the_relevant_countries_where_the_goods_are_manufactured_or_produced_or_services_are_provided_and_the_international_procurement_agreements_relied_upon_if_relevant_if_applicable_explain_the_method_relied_upon_to_allocate_the_total_contract_price_between_exempt_and_nonexempt_amounts_for_example_you_may_attach_a_spreadsheet_listing_the_various_contract_line_items_with_an_explanation_for_the_treatment_of_each_line_item_as_exempt_or_nonexempt_if_the_contract_includes_details_necessary_to_complete_this_section_such_as_exempt_or_nonexempt_amounts_by_contract_line_item_you_may_incorporate_by_reference_the_relevant_information_in_the_explanation_use_additional_sheets_as_necessary,2,Text,"15 If you checked the box on line 9, provide an explanation for each item by stating the relevant countries where the goods are manufactured or produced or services are provided and the international procurement agreements relied upon, if relevant. If applicable, explain the method relied upon to allocate the total contract price between exempt and nonexempt amounts. For example, you may attach a spreadsheet listing the various contract line items with an explanation for the treatment of each line item as exempt or nonexempt. If the contract includes details necessary to complete this section (such as exempt or nonexempt amounts by contract line item), you may incorporate by reference the relevant information in the explanation. (Use additional sheets as necessary.)",,,,8392704,,,Left
w-14,topmostSubform[0].Page2[0].f2_03[0],p2_topmostsubform_0_page2_0_f2_03_0,2,Text,,,,2,8388608,,,Center
w-14,topmostSubform[0].Page2[0].f2_04[0],p2_topmostsubform_0_page2_0_f2_04_0,2,Text,/,,,2,8388608,,,Center
w-14,topmostSubform[0].Page2[0].f2_05[0],p2_topmostsubform_0_page2_0_f2_05_0,2,Text,/,,,4,8388608,,,Center
w-14,topmostSubform[0].Page2[0].f2_06[0],p2_capacity_to_act,2,Text,Capacity to Act,,,,8388608,,,Left
