form_id,field_name,friendly_name,page,field_type,caption,state_options,xfa_items,max_length,field_flags,access,presence,justification
w-8ben-e,topmostSubform[0].Page1[0].f1_1[0],p1_1_name_of_organization_that_is_the_beneficial_owner,1,Text,1 Name of organization that is the beneficial owner,,,,8388608,,,Left
w-8ben-e,topmostSubform[0].Page1[0].f1_2[0],p1_2_country_of_incorporation_or_organization,1,Text,2 Country of incorporation or organization,,,,8388608,,,Left
w-8ben-e,topmostSubform[0].Page1[0].f1_3[0],p1_3_name_of_disregarded_entity_receiving_the_payment_if_applicable,1,Text,"3 Name of disregarded entity receiving the payment (if applicable, see instructions)",,,,8388608,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_1[0],corporation,1,Button,Corporation,1,1|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_1[1],partnership,1,Button,Partnership,2,2|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_1[2],simple_trust,1,Button,Simple trust,3,3|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_1[3],tax_exempt_organization,1,Button,Tax-exempt organization,4,4|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_1[4],complex_trust,1,Button,Complex trust,5,5|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_1[5],foreign_government_controlled_entity,1,Button,Foreign Government - Controlled Entity,6,6|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_1[6],central_bank_of_issue,1,Button,Central Bank of Issue,7,7|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_1[7],private_foundation,1,Button,Private foundation,8,8|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_1[8],estate,1,Button,Estate,9,9|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_1[9],foreign_government_integral_part,1,Button,Foreign Government - Integral Part,10,10|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_1[10],grantor_trust,1,Button,Grantor trust,11,11|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_1[11],disregarded_entity,1,Button,Disregarded entity,12,12|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_1[12],international_organization,1,Button,International organization,13,13|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_2[0],p1_topmostsubform_0_page1_0_c1_2_0_yes,1,Button,Yes,1,1|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].c1_2[1],p1_topmostsubform_0_page1_0_c1_2_1_no,1,Button,No,2,2|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col1[0].c1_3[0],p1_topmostsubform_0_page1_0_col1_0_c1_3_0,1,Button,,1,1|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col1[0].c1_3[1],participating_ffi,1,Button,Participating FFI.,2,2|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col1[0].c1_3[2],reporting_model_1_ffi,1,Button,Reporting Model 1 FFI.,3,3|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col1[0].c1_3[3],reporting_model_2_ffi,1,Button,Reporting Model 2 FFI.,4,4|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col1[0].c1_3[4],p1_topmostsubform_0_page1_0_col1_0_c1_3_4,1,Button,,5,5|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col1[0].c1_3[5],p1_topmostsubform_0_page1_0_col1_0_c1_3_5,1,Button,,6,6|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col1[0].c1_3[6],p1_topmostsubform_0_page1_0_col1_0_c1_3_6,1,Button,,7,7|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col1[0].c1_3[7],p1_topmostsubform_0_page1_0_col1_0_c1_3_7,1,Button,,8,8|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col1[0].c1_3[8],p1_topmostsubform_0_page1_0_col1_0_c1_3_8,1,Button,,9,9|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col1[0].c1_3[9],p1_topmostsubform_0_page1_0_col1_0_c1_3_9,1,Button,,10,10|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col1[0].c1_3[10],p1_topmostsubform_0_page1_0_col1_0_c1_3_10,1,Button,,11,11|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col1[0].c1_3[11],owner_documented_ffi_complete_part_x,1,Button,Owner-documented FFI. Complete Part X.,12,12|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col1[0].c1_3[12],restricted_distributor_complete_part_xi,1,Button,Restricted distributor. Complete Part XI.,13,13|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[0],p1_topmostsubform_0_page1_0_col2_0_c1_3_0,1,Button,,14,14|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[1],p1_topmostsubform_0_page1_0_col2_0_c1_3_1,1,Button,,15,15|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[2],international_organization_complete_part_xiv,1,Button,International organization. Complete Part XIV.,16,16|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[3],exempt_retirement_plans_complete_part_xv,1,Button,Exempt retirement plans. Complete Part XV.,17,17|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[4],p1_topmostsubform_0_page1_0_col2_0_c1_3_4,1,Button,,18,18|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[5],territory_financial_institution_complete_part_xvii,1,Button,Territory financial institution. Complete Part XVII.,19,19|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[6],excepted_nonfinancial_group_entity_complete_part_xviii,1,Button,Excepted nonfinancial group entity. Complete Part XVIII.,20,20|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[7],excepted_nonfinancial_start_up_company_complete_part_xix,1,Button,Excepted nonfinancial start-up company. Complete Part XIX.,21,21|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[8],p1_topmostsubform_0_page1_0_col2_0_c1_3_8,1,Button,,22,22|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[9],501_c_organization_complete_part_xxi,1,Button,501(c) organization. Complete Part XXI.,23,23|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[10],nonprofit_organization_complete_part_xxii,1,Button,Nonprofit organization. Complete Part XXII.,24,24|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[11],p1_topmostsubform_0_page1_0_col2_0_c1_3_11,1,Button,,25,25|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[12],excepted_territory_nffe_complete_part_xxiv,1,Button,Excepted territory NFFE. Complete Part XXIV.,26,26|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[13],active_nffe_complete_part_xxv,1,Button,Active NFFE. Complete Part XXV.,27,27|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[14],passive_nffe_complete_part_xxvi,1,Button,Passive NFFE. Complete Part XXVI.,28,28|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[15],excepted_inter_affiliate_ffi_complete_part_xxvii,1,Button,Excepted inter-affiliate FFI. Complete Part XXVII.,29,29|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[16],direct_reporting_nffe,1,Button,Direct reporting NFFE.,30,30|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[17],sponsored_direct_reporting_nffe_complete_part_xxviii,1,Button,Sponsored direct reporting NFFE. Complete Part XXVIII.,31,31|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].Col2[0].c1_3[18],account_that_is_not_a_financial_account,1,Button,Account that is not a financial account.,32,32|0,,0,,,Left
w-8ben-e,topmostSubform[0].Page1[0].f1_4[0],permanent_residence_street,1,Text,"6 Permanent residence address (street, apt. or suite no., or rural route). Do not use a P.O. box or in-care-of address (other than a registered address).",,,,8388608,,,Left
