friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_name_of_owner,topmostSubform[0].Page1[0].f1_01[0],1,Text,Name of owner,,,
taxpayer_tin,topmostSubform[0].Page1[0].f1_02[0],1,Text,U.S. taxpayer identification number,,11,
p1_permanent_address,topmostSubform[0].Page1[0].f1_03[0],1,Text,Permanent address,,,
p1_expatriation_date,topmostSubform[0].Page1[0].f1_04[0],1,Text,Expatriation date,,,
p1_city_province_or_state_postal_code_and_country,topmostSubform[0].Page1[0].f1_05[0],1,Text,"City, province or state, postal code, and country",,,
p1_current_mailing_address_if_different_from_permanent_address_include_apt_or_suite_no_or_p_o_box_if_mail_is_not_delivered_to_street_address,topmostSubform[0].Page1[0].f1_06[0],1,Text,"Current mailing address, if different from permanent address. Include apt. or suite no., or P.O. box if mail is not delivered to street address.",,,
taxpayer_city_state_zip,topmostSubform[0].Page1[0].f1_07[0],1,Text,"City, town or post office, state, and ZIP code. If you have a foreign address, enter city, province or state, postal code, and country.",,,
p1_name_of_payer,topmostSubform[0].Page1[0].f1_08[0],1,Text,Name of payer,,,
p1_topmostsubform_0_page1_0_c1_1_0,topmostSubform[0].Page1[0].c1_1[0],1,Button,,1,,
p1_topmostsubform_0_page1_0_f1_09_0,topmostSubform[0].Page1[0].f1_09[0],1,Text,,,,
p1_topmostsubform_0_page1_0_c1_1_1,topmostSubform[0].Page1[0].c1_1[1],1,Button,,2,,
p1_topmostsubform_0_page1_0_f1_10_0,topmostSubform[0].Page1[0].f1_10[0],1,Text,,,,
p1_topmostsubform_0_page1_0_c1_1_2,topmostSubform[0].Page1[0].c1_1[2],1,Button,,3,,
p1_topmostsubform_0_page1_0_f1_11_0,topmostSubform[0].Page1[0].f1_11[0],1,Text,,,,
p1_topmostsubform_0_page1_0_c1_1_3,topmostSubform[0].Page1[0].c1_1[3],1,Button,,4,,
p1_topmostsubform_0_page1_0_f1_12_0,topmostSubform[0].Page1[0].f1_12[0],1,Text,,,,
p1_topmostsubform_0_page1_0_c1_2_0,topmostSubform[0].Page1[0].c1_2[0],1,Button,,1,,
