form_id,field_name,friendly_name,page,field_type,caption,state_options,xfa_items,max_length,field_flags,access,presence,justification
w-8eci,topmostSubform[0].Page1[0].f1_1[0],p1_topmostsubform_0_page1_0_f1_1_0,1,Text,,,,,8388608,,,Left
w-8eci,topmostSubform[0].Page1[0].f1_2[0],p1_topmostsubform_0_page1_0_f1_2_0,1,Text,,,,,8388608,,,Left
w-8eci,topmostSubform[0].Page1[0].f1_3[0],p1_topmostsubform_0_page1_0_f1_3_0,1,Text,,,,,8388608,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_1[0],p1_topmostsubform_0_page1_0_c1_1_0,1,Button,,1,1|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_1[1],p1_topmostsubform_0_page1_0_c1_1_1,1,Button,,2,2|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_1[2],p1_topmostsubform_0_page1_0_c1_1_2,1,Button,,3,3|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_1[3],p1_topmostsubform_0_page1_0_c1_1_3,1,Button,,4,4|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_1[4],p1_topmostsubform_0_page1_0_c1_1_4,1,Button,,5,5|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_1[5],p1_topmostsubform_0_page1_0_c1_1_5,1,Button,,6,6|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_1[6],p1_topmostsubform_0_page1_0_c1_1_6,1,Button,,7,7|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_1[7],p1_topmostsubform_0_page1_0_c1_1_7,1,Button,,8,8|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_1[8],p1_topmostsubform_0_page1_0_c1_1_8,1,Button,,9,9|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_1[9],p1_topmostsubform_0_page1_0_c1_1_9,1,Button,,10,10|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_1[10],p1_topmostsubform_0_page1_0_c1_1_10,1,Button,,11,11|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_1[11],p1_topmostsubform_0_page1_0_c1_1_11,1,Button,,Check7,Check7|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_1[12],p1_topmostsubform_0_page1_0_c1_1_12,1,Button,,13,13|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].f1_4[0],p1_topmostsubform_0_page1_0_f1_4_0,1,Text,,,,,8388608,,,Left
w-8eci,topmostSubform[0].Page1[0].f1_5[0],p1_topmostsubform_0_page1_0_f1_5_0,1,Text,,,,,8388608,,,Left
w-8eci,topmostSubform[0].Page1[0].f1_6[0],p1_topmostsubform_0_page1_0_f1_6_0,1,Text,,,,,8388608,,,Left
w-8eci,topmostSubform[0].Page1[0].f1_7[0],p1_topmostsubform_0_page1_0_f1_7_0,1,Text,,,,,8388608,,,Left
w-8eci,topmostSubform[0].Page1[0].f1_8[0],p1_topmostsubform_0_page1_0_f1_8_0,1,Text,,,,,8388608,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_2[0],p1_topmostsubform_0_page1_0_c1_2_0,1,Button,,1,1|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_2[1],p1_topmostsubform_0_page1_0_c1_2_1,1,Button,,2,2|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].f1_9[0],p1_topmostsubform_0_page1_0_f1_9_0,1,Text,,,,11,0,,,Center
w-8eci,topmostSubform[0].Page1[0].f1_10[0],p1_topmostsubform_0_page1_0_f1_10_0,1,Text,,,,,8388608,,,Center
w-8eci,topmostSubform[0].Page1[0].c1_3[0],p1_topmostsubform_0_page1_0_c1_3_0,1,Button,,1,1|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].f1_11[0],p1_topmostsubform_0_page1_0_f1_11_0,1,Text,,,,,8388608,,,Center
w-8eci,topmostSubform[0].Page1[0].f1_12[0],p1_topmostsubform_0_page1_0_f1_12_0,1,Text,,,,10,0,,,Center
w-8eci,topmostSubform[0].Page1[0].f1_13[0],p1_topmostsubform_0_page1_0_f1_13_0,1,Text,,,,,8388608,,,Left
w-8eci,topmostSubform[0].Page1[0].f1_14[0],p1_topmostsubform_0_page1_0_f1_14_0,1,Text,,,,,8388608,,,Left
w-8eci,topmostSubform[0].Page1[0].f1_15[0],p1_topmostsubform_0_page1_0_f1_15_0,1,Text,,,,,8388608,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_4[0],p1_topmostsubform_0_page1_0_c1_4_0,1,Button,,1,1|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].c1_5[0],p1_topmostsubform_0_page1_0_c1_5_0,1,Button,,1,1|0,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].SignatureBeneficialOwner[0],p1_signature_of_beneficial_owner_or_individual_authorized_to_sign_for_the_beneficial_owner,1,Signature,Signature of beneficial owner (or individual authorized to sign for the beneficial owner),,,,0,,,Left
w-8eci,topmostSubform[0].Page1[0].f1_16[0],p1_print_name,1,Text,Print name,,,,8388608,,,Left
w-8eci,topmostSubform[0].Page1[0].f1_17[0],p1_date_mm_dd_yyyy,1,Text,Date (MM-DD-YYYY),,,10,0,,,Center
