friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_1_name_of_organization,topmostSubform[0].Page1[0].f1_1[0],1,Text,1 Name of organization,,,
p1_2_country_of_incorporation_or_organization,topmostSubform[0].Page1[0].f1_2[0],1,Text,2 Country of incorporation or organization,,,
foreign_government,topmostSubform[0].Page1[0].Line3_Col1[0].c1_1[0],1,Button,Foreign government,1,,
international_organization,topmostSubform[0].Page1[0].Line3_Col1[0].c1_1[1],1,Button,International organization,2,,
p1_topmostsubform_0_page1_0_line3_col1_0_c1_1_2,topmostSubform[0].Page1[0].Line3_Col1[0].c1_1[2],1,Button,,3,,
foreign_tax_exempt_organization,topmostSubform[0].Page1[0].c1_1[0],1,Button,Foreign tax-exempt organization,4,,
foreign_private_foundation,topmostSubform[0].Page1[0].c1_1[1],1,Button,Foreign private foundation,5,,
government_of_a_u_s_territory,topmostSubform[0].Page1[0].c1_1[2],1,Button,Government of a U.S. territory,6,,
withholding_qualified_holder_under_section_1445,topmostSubform[0].Page1[0].c1_1[3],1,Button,Withholding qualified holder under section 1445,7,,
participating_ffi,topmostSubform[0].Page1[0].LIne4_Col1[0].c1_2[0],1,Button,Participating FFI.,1,,
reporting_model_1_ffi,topmostSubform[0].Page1[0].LIne4_Col1[0].c1_2[1],1,Button,Reporting Model 1 FFI.,2,,
reporting_model_2_ffi,topmostSubform[0].Page1[0].LIne4_Col1[0].c1_2[2],1,Button,Reporting Model 2 FFI.,3,,
p1_topmostsubform_0_page1_0_line4_col1_0_c1_2_3,topmostSubform[0].Page1[0].LIne4_Col1[0].c1_2[3],1,Button,,4,,
nonreporting_iga_ffi_complete_part_iii,topmostSubform[0].Page1[0].LIne4_Col1[0].c1_2[4],1,Button,Nonreporting IGA FFI. Complete Part III.,5,,
territory_financial_institution_complete_part_iii,topmostSubform[0].Page1[0].LIne4_Col1[0].c1_2[5],1,Button,Territory financial institution. Complete Part III.,6,,
international_organization_2,topmostSubform[0].Page1[0].LIne4_Col1[0].c1_2[6],1,Button,International organization.,7,,
p1_topmostsubform_0_page1_0_c1_2_0,topmostSubform[0].Page1[0].c1_2[0],1,Button,,8,,
exempt_retirement_plan_of_foreign_government_complete_part_iii,topmostSubform[0].Page1[0].c1_2[1],1,Button,Exempt retirement plan of foreign government. Complete Part III.,9,,
501_c_organization_complete_part_iii,topmostSubform[0].Page1[0].c1_2[2],1,Button,501(c) organization. Complete Part III.,10,,
passive_nffe_complete_part_iii,topmostSubform[0].Page1[0].c1_2[3],1,Button,Passive NFFE. Complete Part III.,11,,
direct_reporting_nffe,topmostSubform[0].Page1[0].c1_2[4],1,Button,Direct reporting NFFE.,12,,
sponsored_direct_reporting_nffe_complete_part_iii,topmostSubform[0].Page1[0].c1_2[5],1,Button,Sponsored direct reporting NFFE. Complete Part III.,13,,
p1_5_permanent_address_street_apt_or_suite_no_or_rural_route_do_not_use_a_p_o_box_or_in_care_of_address_other_than_a_registered_address,topmostSubform[0].Page1[0].f1_3[0],1,Text,"5 Permanent address (street, apt. or suite no., or rural route). Do not use a P.O. box or in-care-of address (other than a registered address).",,,
permanent_residence_city_state_postal,topmostSubform[0].Page1[0].f1_4[0],1,Text,"City or town, state or province. Include postal code where appropriate.",,,
taxpayer_country,topmostSubform[0].Page1[0].f1_5[0],1,Text,Country,,,
p1_6_mailing_address_if_different_from_above,topmostSubform[0].Page1[0].f1_6[0],1,Text,6 Mailing address (if different from above).,,,
taxpayer_postal_code,topmostSubform[0].Page1[0].f1_7[0],1,Text,"City or town, state or province. Include postal or ZIP code where appropriate.",,,
taxpayer_country_2,topmostSubform[0].Page1[0].f1_8[0],1,Text,Country,,,
p1_7_u_s_tin_if_required,topmostSubform[0].Page1[0].f1_9[0],1,Text,"7 U.S. TIN, if required (see instructions)",,11,
p1_8a_giin,topmostSubform[0].Page1[0].f1_10[0],1,Text,8a GIIN,,,
p1_b_foreign_tin,topmostSubform[0].Page1[0].f1_11[0],1,Text,b Foreign TIN (see instructions),,,
p1_9_reference_number_s,topmostSubform[0].Page1[0].f1_12[0],1,Text,9 Reference number(s) (see instructions),,,
p1_topmostsubform_0_page1_0_c1_3_0,topmostSubform[0].Page1[0].c1_3[0],1,Button,,1,,
p1_topmostsubform_0_page1_0_c1_4_0,topmostSubform[0].Page1[0].c1_4[0],1,Button,,1,,
p1_topmostsubform_0_page1_0_f1_13_0,topmostSubform[0].Page1[0].f1_13[0],1,Text,.,,,
p1_topmostsubform_0_page1_0_c1_4_1,topmostSubform[0].Page1[0].c1_4[1],1,Button,,2,,
p1_topmostsubform_0_page1_0_f1_14_0,topmostSubform[0].Page1[0].f1_14[0],1,Text,.,,,
p1_topmostsubform_0_page1_0_c1_5_0,topmostSubform[0].Page1[0].c1_5[0],1,Button,,1,,
p1_topmostsubform_0_page1_0_c1_5_1,topmostSubform[0].Page1[0].c1_5[1],1,Button,,2,,
p1_topmostsubform_0_page1_0_c1_6_0,topmostSubform[0].Page1[0].c1_6[0],1,Button,,1,,
p2_topmostsubform_0_page2_0_c2_1_0,topmostSubform[0].Page2[0].c2_1[0],2,Button,,1,,
p2_topmostsubform_0_page2_0_c2_2_0,topmostSubform[0].Page2[0].c2_2[0],2,Button,,1,,
p2_i_certify_that_the_entity_identified_in_part_i_has_been_issued_a_determination_letter_by_the_irs_dated,topmostSubform[0].Page2[0].f2_1[0],2,Text,I certify that the entity identified in Part I has been issued a determination letter by the IRS dated,,,
p2_topmostsubform_0_page2_0_c2_2_1,topmostSubform[0].Page2[0].c2_2[1],2,Button,,2,,
p2_topmostsubform_0_page2_0_c2_3_0,topmostSubform[0].Page2[0].c2_3[0],2,Button,,1,,
p2_topmostsubform_0_page2_0_c2_3_1,topmostSubform[0].Page2[0].c2_3[1],2,Button,,2,,
p2_topmostsubform_0_page2_0_c2_4_0,topmostSubform[0].Page2[0].c2_4[0],2,Button,,1,,
p2_topmostsubform_0_page2_0_c2_5_0,topmostSubform[0].Page2[0].c2_5[0],2,Button,,1,,
p2_topmostsubform_0_page2_0_c2_5_1,topmostSubform[0].Page2[0].c2_5[1],2,Button,,2,,
p2_topmostsubform_0_page2_0_c2_6_0,topmostSubform[0].Page2[0].c2_6[0],2,Button,,1,,
p2_and,topmostSubform[0].Page2[0].BulletedList2[0].Bullet1[0].f2_2[0],2,Text,and,,,
p2_is_treated_as_a,topmostSubform[0].Page2[0].BulletedList2[0].Bullet2[0].f2_3[0],2,Text,• Is treated as a,,,
p2_giin,topmostSubform[0].Page2[0].BulletedList2[0].Bullet3[0].f2_4[0],2,Text,GIIN:,,,
p2_topmostsubform_0_page2_0_c2_7_0,topmostSubform[0].Page2[0].c2_7[0],2,Button,,1,,
p2_topmostsubform_0_page2_0_c2_8_0,topmostSubform[0].Page2[0].c2_8[0],2,Button,,1,,
p2_topmostsubform_0_page2_0_c2_9_0,topmostSubform[0].Page2[0].c2_9[0],2,Button,,1,,
p2_topmostsubform_0_page2_0_c2_9_1,topmostSubform[0].Page2[0].c2_9[1],2,Button,,2,,
p3_topmostsubform_0_page3_0_c3_1_0,topmostSubform[0].Page3[0].c3_1[0],3,Button,,1,,
p3_topmostsubform_0_page3_0_c3_2_0,topmostSubform[0].Page3[0].c3_2[0],3,Button,,1,,
p3_topmostsubform_0_page3_0_c3_3_0,topmostSubform[0].Page3[0].c3_3[0],3,Button,,1,,
p3_topmostsubform_0_page3_0_c3_3_1,topmostSubform[0].Page3[0].c3_3[1],3,Button,,2,,
p3_topmostsubform_0_page3_0_f3_1_0,topmostSubform[0].Page3[0].f3_1[0],3,Text,,,,
p3_topmostsubform_0_page3_0_c3_4_0,topmostSubform[0].Page3[0].c3_4[0],3,Button,,1,,
i_certify_that_i_have_the_capacity_to_sign_for_the_entity_identified_on_line_1_of_this_form,topmostSubform[0].Page3[0].c3_5[0],3,Button,I certify that I have the capacity to sign for the entity identified on line 1 of this form.,1,,
p3_signature_of_authorized_official,topmostSubform[0].Page3[0].f3_2[0],3,Signature,Signature of authorized official,,,
p3_print_name,topmostSubform[0].Page3[0].f3_3[0],3,Text,Print name,,,
p3_date_mm_dd_yyyy,topmostSubform[0].Page3[0].f3_4[0],3,Text,Date (MM-DD-YYYY),,10,
