form_id,field_name,friendly_name,page,field_type,caption,state_options,xfa_items,max_length,field_flags,access,presence,justification
w-8exp,topmostSubform[0].Page1[0].f1_1[0],p1_1_name_of_organization,1,Text,1 Name of organization,,,,8388608,,,Left
w-8exp,topmostSubform[0].Page1[0].f1_2[0],p1_2_country_of_incorporation_or_organization,1,Text,2 Country of incorporation or organization,,,,8388608,,,Left
w-8exp,topmostSubform[0].Page1[0].Line3_Col1[0].c1_1[0],foreign_government,1,Button,Foreign government,1,1|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].Line3_Col1[0].c1_1[1],international_organization,1,Button,International organization,2,2|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].Line3_Col1[0].c1_1[2],p1_topmostsubform_0_page1_0_line3_col1_0_c1_1_2,1,Button,,3,3|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].c1_1[0],foreign_tax_exempt_organization,1,Button,Foreign tax-exempt organization,4,4|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].c1_1[1],foreign_private_foundation,1,Button,Foreign private foundation,5,5|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].c1_1[2],government_of_a_u_s_territory,1,Button,Government of a U.S. territory,6,6|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].c1_1[3],withholding_qualified_holder_under_section_1445,1,Button,Withholding qualified holder under section 1445,7,7|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].LIne4_Col1[0].c1_2[0],participating_ffi,1,Button,Participating FFI.,1,1|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].LIne4_Col1[0].c1_2[1],reporting_model_1_ffi,1,Button,Reporting Model 1 FFI.,2,2|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].LIne4_Col1[0].c1_2[2],reporting_model_2_ffi,1,Button,Reporting Model 2 FFI.,3,3|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].LIne4_Col1[0].c1_2[3],p1_topmostsubform_0_page1_0_line4_col1_0_c1_2_3,1,Button,,4,4|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].LIne4_Col1[0].c1_2[4],nonreporting_iga_ffi_complete_part_iii,1,Button,Nonreporting IGA FFI. Complete Part III.,5,5|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].LIne4_Col1[0].c1_2[5],territory_financial_institution_complete_part_iii,1,Button,Territory financial institution. Complete Part III.,6,6|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].LIne4_Col1[0].c1_2[6],international_organization_2,1,Button,International organization.,7,7|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].c1_2[0],p1_topmostsubform_0_page1_0_c1_2_0,1,Button,,8,8|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].c1_2[1],exempt_retirement_plan_of_foreign_government_complete_part_iii,1,Button,Exempt retirement plan of foreign government. Complete Part III.,9,9|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].c1_2[2],501_c_organization_complete_part_iii,1,Button,501(c) organization. Complete Part III.,10,10|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].c1_2[3],passive_nffe_complete_part_iii,1,Button,Passive NFFE. Complete Part III.,11,11|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].c1_2[4],direct_reporting_nffe,1,Button,Direct reporting NFFE.,12,12|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].c1_2[5],sponsored_direct_reporting_nffe_complete_part_iii,1,Button,Sponsored direct reporting NFFE. Complete Part III.,13,13|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].f1_3[0],p1_5_permanent_address_street_apt_or_suite_no_or_rural_route_do_not_use_a_p_o_box_or_in_care_of_address_other_than_a_registered_address,1,Text,"5 Permanent address (street, apt. or suite no., or rural route). Do not use a P.O. box or in-care-of address (other than a registered address).",,,,8388608,,,Left
w-8exp,topmostSubform[0].Page1[0].f1_4[0],permanent_residence_city_state_postal,1,Text,"City or town, state or province. Include postal code where appropriate.",,,,8388608,,,Left
w-8exp,topmostSubform[0].Page1[0].f1_5[0],taxpayer_country,1,Text,Country,,,,8388608,,,Left
w-8exp,topmostSubform[0].Page1[0].f1_6[0],p1_6_mailing_address_if_different_from_above,1,Text,6 Mailing address (if different from above).,,,,8388608,,,Left
w-8exp,topmostSubform[0].Page1[0].f1_7[0],taxpayer_postal_code,1,Text,"City or town, state or province. Include postal or ZIP code where appropriate.",,,,8388608,,,Left
w-8exp,topmostSubform[0].Page1[0].f1_8[0],taxpayer_country_2,1,Text,Country,,,,8388608,,,Left
w-8exp,topmostSubform[0].Page1[0].f1_9[0],p1_7_u_s_tin_if_required,1,Text,"7 U.S. TIN, if required (see instructions)",,,11,0,,,Center
w-8exp,topmostSubform[0].Page1[0].f1_10[0],p1_8a_giin,1,Text,8a GIIN,,,,8388608,,,Center
w-8exp,topmostSubform[0].Page1[0].f1_11[0],p1_b_foreign_tin,1,Text,b Foreign TIN (see instructions),,,,8388608,,,Center
w-8exp,topmostSubform[0].Page1[0].f1_12[0],p1_9_reference_number_s,1,Text,9 Reference number(s) (see instructions),,,,8388608,,,Center
w-8exp,topmostSubform[0].Page1[0].c1_3[0],p1_topmostsubform_0_page1_0_c1_3_0,1,Button,,1,1|0|2,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].c1_4[0],p1_topmostsubform_0_page1_0_c1_4_0,1,Button,,1,1|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].f1_13[0],p1_topmostsubform_0_page1_0_f1_13_0,1,Text,.,,,,8388608,,,Left
w-8exp,topmostSubform[0].Page1[0].c1_4[1],p1_topmostsubform_0_page1_0_c1_4_1,1,Button,,2,2|0,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].f1_14[0],p1_topmostsubform_0_page1_0_f1_14_0,1,Text,.,,,,8388608,,,Left
w-8exp,topmostSubform[0].Page1[0].c1_5[0],p1_topmostsubform_0_page1_0_c1_5_0,1,Button,,1,1|0|2,,0,,,Left
w-8exp,topmostSubform[0].Page1[0].c1_5[1],p1_topmostsubform_0_page1_0_c1_5_1,1,Button,,2,2|0,,0,,,Left
