friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_1_name_of_organization_that_is_acting_as_intermediary,topmostSubform[0].Page1[0].f1_1[0],1,Text,1 Name of organization that is acting as intermediary,,,
p1_2_country_of_incorporation_or_organization,topmostSubform[0].Page1[0].f1_2[0],1,Text,2 Country of incorporation or organization,,,
p1_3_name_of_disregarded_entity_if_applicable,topmostSubform[0].Page1[0].f1_3[0],1,Text,"3 Name of disregarded entity (if applicable), see instructions",,,
qi_including_a_qdd_complete_part_iii,topmostSubform[0].Page1[0].LeftCol[0].c1_1[0],1,Button,QI (including a QDD). Complete Part III.,1,,
nonqualified_intermediary_complete_part_iv,topmostSubform[0].Page1[0].LeftCol[0].c1_1[1],1,Button,Nonqualified intermediary. Complete Part IV.,2,,
territory_financial_institution_complete_part_v,topmostSubform[0].Page1[0].LeftCol[0].c1_1[2],1,Button,Territory financial institution. Complete Part V.,9,,
u_s_branch_complete_part_vi,topmostSubform[0].Page1[0].LeftCol[0].c1_1[3],1,Button,U.S. branch. Complete Part VI.,3,,
withholding_foreign_partnership_complete_part_vii,topmostSubform[0].Page1[0].LeftCol[0].c1_1[4],1,Button,Withholding foreign partnership. Complete Part VII.,4,,
withholding_foreign_trust_complete_part_vii,topmostSubform[0].Page1[0].RightCol[0].c1_1[0],1,Button,Withholding foreign trust. Complete Part VII.,5,,
nonwithholding_foreign_partnership_complete_part_viii,topmostSubform[0].Page1[0].RightCol[0].c1_1[1],1,Button,Nonwithholding foreign partnership. Complete Part VIII.,6,,
nonwithholding_foreign_simple_trust_complete_part_viii,topmostSubform[0].Page1[0].RightCol[0].c1_1[2],1,Button,Nonwithholding foreign simple trust. Complete Part VIII.,7,,
nonwithholding_foreign_grantor_trust_complete_part_viii,topmostSubform[0].Page1[0].RightCol[0].c1_1[3],1,Button,Nonwithholding foreign grantor trust. Complete Part VIII.,8,,
p1_topmostsubform_0_page1_0_leftcolln5_0_c1_2_0,topmostSubform[0].Page1[0].LeftColLn5[0].c1_2[0],1,Button,,1,,
participating_ffi,topmostSubform[0].Page1[0].LeftColLn5[0].c1_2[1],1,Button,Participating FFI.,2,,
reporting_model_1_ffi,topmostSubform[0].Page1[0].LeftColLn5[0].c1_2[2],1,Button,Reporting Model 1 FFI.,3,,
reporting_model_2_ffi,topmostSubform[0].Page1[0].LeftColLn5[0].c1_2[3],1,Button,Reporting Model 2 FFI.,4,,
p1_topmostsubform_0_page1_0_leftcolln5_0_c1_2_4,topmostSubform[0].Page1[0].LeftColLn5[0].c1_2[4],1,Button,,5,,
territory_financial_institution_complete_part_v_2,topmostSubform[0].Page1[0].LeftColLn5[0].c1_2[5],1,Button,Territory financial institution. Complete Part V.,6,,
p1_topmostsubform_0_page1_0_leftcolln5_0_c1_2_6,topmostSubform[0].Page1[0].LeftColLn5[0].c1_2[6],1,Button,,7,,
p1_topmostsubform_0_page1_0_leftcolln5_0_c1_2_7,topmostSubform[0].Page1[0].LeftColLn5[0].c1_2[7],1,Button,,8,,
certified_deemed_compliant_ffi_with_only_low_value_accounts_complete_part_xiii,topmostSubform[0].Page1[0].LeftColLn5[0].c1_2[8],1,Button,Certified deemed-compliant FFI with only low-value accounts. Complete Part XIII.,9,,
p1_topmostsubform_0_page1_0_leftcolln5_0_c1_2_9,topmostSubform[0].Page1[0].LeftColLn5[0].c1_2[9],1,Button,,10,,
p1_topmostsubform_0_page1_0_leftcolln5_0_c1_2_10,topmostSubform[0].Page1[0].LeftColLn5[0].c1_2[10],1,Button,,11,,
p1_topmostsubform_0_page1_0_leftcolln5_0_c1_2_11,topmostSubform[0].Page1[0].LeftColLn5[0].c1_2[11],1,Button,,12,,
owner_documented_ffi_complete_part_xi,topmostSubform[0].Page1[0].RightCol5[0].c1_2[0],1,Button,Owner-documented FFI. Complete Part XI.,13,,
restricted_distributor_complete_part_xvii,topmostSubform[0].Page1[0].RightCol5[0].c1_2[1],1,Button,Restricted distributor. Complete Part XVII.,14,,
foreign_central_bank_of_issue_complete_part_xviii,topmostSubform[0].Page1[0].RightCol5[0].c1_2[2],1,Button,Foreign central bank of issue. Complete Part XVIII.,15,,
nonreporting_iga_ffi_complete_part_xix,topmostSubform[0].Page1[0].RightCol5[0].c1_2[3],1,Button,Nonreporting IGA FFI. Complete Part XIX.,16,,
exempt_retirement_plans_complete_part_xx,topmostSubform[0].Page1[0].RightCol5[0].c1_2[4],1,Button,Exempt retirement plans. Complete Part XX.,17,,
excepted_nonfinancial_group_entity_complete_part_xxi,topmostSubform[0].Page1[0].RightCol5[0].c1_2[5],1,Button,Excepted nonfinancial group entity. Complete Part XXI.,18,,
excepted_nonfinancial_start_up_company_complete_part_xxii,topmostSubform[0].Page1[0].RightCol5[0].c1_2[6],1,Button,Excepted nonfinancial start-up company. Complete Part XXII.,19,,
p1_topmostsubform_0_page1_0_rightcol5_0_c1_2_7,topmostSubform[0].Page1[0].RightCol5[0].c1_2[7],1,Button,,20,,
p1_topmostsubform_0_page1_0_rightcol5_0_c1_2_8,topmostSubform[0].Page1[0].RightCol5[0].c1_2[8],1,Button,,21,,
excepted_territory_nffe_complete_part_xxv,topmostSubform[0].Page1[0].RightCol5[0].c1_2[9],1,Button,Excepted territory NFFE. Complete Part XXV.,22,,
active_nffe_complete_part_xxvi,topmostSubform[0].Page1[0].RightCol5[0].c1_2[10],1,Button,Active NFFE. Complete Part XXVI.,23,,
passive_nffe_complete_part_xxvii,topmostSubform[0].Page1[0].RightCol5[0].c1_2[11],1,Button,Passive NFFE. Complete Part XXVII.,24,,
direct_reporting_nffe,topmostSubform[0].Page1[0].RightCol5[0].c1_2[12],1,Button,Direct reporting NFFE.,25,,
sponsored_direct_reporting_nffe_complete_part_xxviii,topmostSubform[0].Page1[0].RightCol5[0].c1_2[13],1,Button,Sponsored direct reporting NFFE. Complete Part XXVIII.,26,,
permanent_residence_street,topmostSubform[0].Page1[0].f1_4[0],1,Text,"6 Permanent residence address (street, apt. or suite no., or rural route). Do not use a P.O. box or in-care-of address (other than a registered address).",,,
permanent_residence_city_state_postal,topmostSubform[0].Page1[0].f1_5[0],1,Text,"City or town, state or province. Include postal code where appropriate.",,,
taxpayer_country,topmostSubform[0].Page1[0].f1_6[0],1,Text,Country,,,
p1_7_mailing_address_if_different_from_above,topmostSubform[0].Page1[0].f1_7[0],1,Text,7 Mailing address (if different from above),,,
permanent_residence_city_state_postal_2,topmostSubform[0].Page1[0].f1_8[0],1,Text,"City or town, state or province. Include postal code where appropriate.",,,
taxpayer_country_2,topmostSubform[0].Page1[0].f1_9[0],1,Text,Country,,,
taxpayer_tin,topmostSubform[0].Page1[0].f1_10[0],1,Text,"8 U.S. taxpayer identification number, if required ▶",,11,
p1_9a_giin_if_applicable,topmostSubform[0].Page1[0].f1_10[1],1,Text,9a GIIN (if applicable) ▶,,,
taxpayer_tin_2,topmostSubform[0].Page1[0].f1_10[2],1,Text,"b Foreign taxpayer identification number, if required ▶",,11,
qi_ein,topmostSubform[0].Page1[0].c1_3[0],1,Button,QI-EIN,1,,
wp_ein,topmostSubform[0].Page1[0].c1_3[1],1,Button,WP-EIN,2,,
wt_ein,topmostSubform[0].Page1[0].c1_3[2],1,Button,WT-EIN,3,,
ein,topmostSubform[0].Page1[0].c1_3[3],1,Button,EIN,4,,
p1_10_reference_number_s,topmostSubform[0].Page1[0].f1_11[0],1,Text,10 Reference number(s) (see instructions),,,
branch_treated_as_nonparticipating_ffi,topmostSubform[0].Page2[0].c2_1[0],2,Button,Branch treated as nonparticipating FFI.,1,,
participating_ffi_2,topmostSubform[0].Page2[0].c2_1[1],2,Button,Participating FFI.,2,,
reporting_model_1_ffi_2,topmostSubform[0].Page2[0].c2_1[2],2,Button,Reporting Model 1 FFI.,3,,
reporting_model_2_ffi_2,topmostSubform[0].Page2[0].c2_1[3],2,Button,Reporting Model 2 FFI.,4,,
u_s_branch,topmostSubform[0].Page2[0].c2_1[4],2,Button,U.S. Branch.,5,,
