friendly_name,original_field_name,page,field_type,caption,state_options,max_length,access
p1_name_of_student_or_borrower,topmostSubform[0].Page1[0].f1_01[0],1,Text,Name of student or borrower (see instructions),,,
taxpayer_tin,topmostSubform[0].Page1[0].f1_02[0],1,Text,Taxpayer identification number,,11,
p1_address_number_and_street,topmostSubform[0].Page1[0].f1_03[0],1,Text,Address (number and street),,,
p1_apt_or_suite_no,topmostSubform[0].Page1[0].f1_04[0],1,Text,Apt. or suite no.,,,
p1_city,topmostSubform[0].Page1[0].f1_05[0],1,Text,City,,,
p1_state,topmostSubform[0].Page1[0].f1_06[0],1,Text,State,,2,
p1_zip_code,topmostSubform[0].Page1[0].f1_07[0],1,Text,ZIP code,,10,
p1_topmostsubform_0_page1_0_f1_08_0,topmostSubform[0].Page1[0].f1_08[0],1,Text,/,,2,
p1_topmostsubform_0_page1_0_f1_09_0,topmostSubform[0].Page1[0].f1_09[0],1,Text,/,,2,
p1_topmostsubform_0_page1_0_f1_10_0,topmostSubform[0].Page1[0].f1_10[0],1,Text,,,4,
p1_requesters_name_and_address,topmostSubform[0].Page1[0].f1_11[0],1,Text,Requester’s name and address,,,
p1_tuition_account_number,topmostSubform[0].Page1[0].f1_12[0],1,Text,Tuition account number,,,
p1_loan_account_number,topmostSubform[0].Page1[0].f1_13[0],1,Text,Loan account number,,,
